"KDSATKER","KDDEPT","KDAKUN","REALISASI"
"450819","004","425991",0
"662745","004","425991",0
"890660","004","425991",319800
"890682","004","425991",0
"003019","004","425999",0
"003024","004","425999",1303100000
"890588","004","425999",13310000
"663136","005","425119",2500000
"097780","005","425121",1750999
"097851","005","425121",1551000
"097865","005","425121",1717000
"099638","005","425121",174000000
"099841","005","425121",790999
"307288","005","425121",765000
"400528","005","425121",25699199
"400631","005","425121",340260
"400920","005","425121",6850000
"401410","005","425121",0
"401937","005","425121",75000212
"402820","005","425121",0
"526746","005","425121",0
"559861","005","425121",12000000
"578850","005","425121",1055999
"662972","005","425121",2610000
"097521","005","425122",4561000
"097542","005","425122",44636099
"097603","005","425122",3333333
"097691","005","425122",8691000
"097720","005","425122",36099999
"097762","005","425122",6669999
"097776","005","425122",12279666
"098036","005","425122",2357999
"098150","005","425122",5888888
"098214","005","425122",3185200
"098551","005","425122",100680021
"098682","005","425122",450000
"098739","005","425122",8699999
"098771","005","425122",1150000
"098963","005","425122",8222222
"099003","005","425122",1678999
"099031","005","425122",7222222
"099070","005","425122",2450000
"099312","005","425122",50488887
"099354","005","425122",9200000
"099439","005","425122",39977531
"099450","005","425122",2378999
"099492","005","425122",2234567
"099549","005","425122",1567000
"099574","005","425122",1550000
"099659","005","425122",17600000
"099706","005","425122",27420196
"099748","005","425122",1079000
"099773","005","425122",24125000
"099890","005","425122",6666666
"099930","005","425122",55388988
"099931","005","425122",0
"307250","005","425122",20075298
"307292","005","425122",4000000
"307452","005","425122",8199999
"307491","005","425122",1728699
"307555","005","425122",6279999
"308021","005","425122",3110201
"308152","005","425122",10777999
"309121","005","425122",0
"309123","005","425122",0
"400172","005","425122",11174098
"400188","005","425122",6061629
"400220","005","425122",8500999
"400282","005","425122",51309998
"400311","005","425122",452000
"400528","005","425122",14757899
"400832","005","425122",9268000
"400891","005","425122",2600000
"400920","005","425122",18655000
"400973","005","425122",12509000
"400974","005","425122",0
"401092","005","425122",21653277
"401441","005","425122",4999999
"401457","005","425122",7650000
"401463","005","425122",9151898
"401709","005","425122",803000
"401730","005","425122",1179750
"401900","005","425122",25179999
"401931","005","425122",4041429
"401957","005","425122",1280000
"402330","005","425122",400000
"402443","005","425122",7000000
"402519","005","425122",1789000
"402531","005","425122",3888888
"402622","005","425122",3678999
"402623","005","425122",0
"402788","005","425122",2677777
"402789","005","425122",0
"402876","005","425122",34280000
"402877","005","425122",0
"450737","005","425122",12200000
"531830","005","425122",15999999
"547678","005","425122",5555555
"548940","005","425122",11567999
"568725","005","425122",8763000
"576253","005","425122",2999999
"578822","005","425122",13677000
"578850","005","425122",53684737
"578871","005","425122",3185555
"604723","005","425122",5119900
"604724","005","425122",0
"632001","005","425122",469999
"632052","005","425122",410000
"652062","005","425122",7340000
"652063","005","425122",137886000
"652119","005","425122",33333333
"663157","005","425122",37567999
"663178","005","425122",4678910
"663398","005","425122",5765432
"670248","005","425122",4555500
"682171","005","425122",40975999
"682260","005","425122",2150000
"682274","005","425122",2258888
"689313","005","425122",1075000
"097521","005","425129",4600000
"097709","005","425129",315000
"097851","005","425129",0
"097865","005","425129",0
"098476","005","425129",5200999
"098551","005","425129",0
"098586","005","425129",112000
"099308","005","425129",2250000
"099401","005","425129",250000
"099439","005","425129",0
"099663","005","425129",3050000
"099841","005","425129",0
"099912","005","425129",675500
"307300","005","425129",37015998
"307953","005","425129",1678999
"309066","005","425129",0
"400188","005","425129",0
"400327","005","425129",3197000
"400528","005","425129",0
"400534","005","425129",9900000
"400920","005","425129",0
"401018","005","425129",12567890
"401322","005","425129",4550000
"401323","005","425129",0
"401410","005","425129",6666666
"401709","005","425129",0
"526746","005","425129",1655000
"559861","005","425129",0
"662972","005","425129",0
"663225","005","425129",1934000
"663398","005","425129",0
"664539","005","425129",4675000
"682281","005","425129",2678999
"097450","005","425131",110409402
"097467","005","425131",8453660
"097471","005","425131",59333736
"097488","005","425131",23187500
"097492","005","425131",674000
"097500","005","425131",47240833
"097514","005","425131",65099726
"097521","005","425131",9243204
"097535","005","425131",7324137
"097542","005","425131",13316000
"097556","005","425131",9665000
"097560","005","425131",15679078
"097577","005","425131",8284308
"097598","005","425131",27880402
"097603","005","425131",15278341
"097610","005","425131",6265182
"097624","005","425131",7400691
"097631","005","425131",984621
"097645","005","425131",18417564
"097652","005","425131",23368254
"097666","005","425131",35148750
"097670","005","425131",3373570
"097687","005","425131",6522516
"097691","005","425131",9635700
"097709","005","425131",9832680
"097713","005","425131",15290552
"097720","005","425131",36809706
"097734","005","425131",8369546
"097741","005","425131",4020620
"097755","005","425131",3032377
"097762","005","425131",6745200
"097776","005","425131",6002253
"097780","005","425131",8983574
"097797","005","425131",22256042
"097802","005","425131",12074000
"097819","005","425131",9388995
"097823","005","425131",4813664
