"KDSATKER","KDDEPT","KDMAK","JML_BILLING","JML_LAYANAN","REAL_VOLUME"
"000017","001","425122",4,1,508558965
"000017","001","425131",5,1,0
"000017","001","425911",4,1,0
"000017","001","425912",5,1,0
"000017","001","425913",36,1,0
"000017","001","425934",9,1,0
"000017","001","511129",1,0,0
"000017","001","521113",1,0,0
"000017","001","521115",1,0,0
"000017","001","521119",4,0,0
"000017","001","524111",1,0,0
"000017","001","524113",1,0,0
"000017","001","815111",3,0,0
"000017","001","815511",17,0,0
"000021","001","425911",1,1,0
"000021","001","425912",105,1,0
"000021","001","521119",12,0,0
"000021","001","521211",3,0,0
"000021","001","521213",9,0,0
"000021","001","521219",3,0,0
"000021","001","522151",8,0,0
"000021","001","524111",24,0,0
"000021","001","524113",7,0,0
"000021","001","524114",5,0,0
"000021","001","524211",2,0,0
"000021","001","524219",2,0,0
"000021","001","815111",3,0,0
"000021","001","815511",16,0,0
"001012","002","425122",1,1,0
"001012","002","425129",13,1,1471525406
"001012","002","425131",154,1,0
"001012","002","425791",8,1,0
"001012","002","425911",13,1,0
"001012","002","425912",21,1,0
"001012","002","425913",12,1,0
"001012","002","425934",12,1,0
"001012","002","511111",4,0,0
"001012","002","511119",4,0,0
"001012","002","511121",3,0,0
"001012","002","511122",3,0,0
"001012","002","511123",1,0,0
"001012","002","511124",1,0,0
"001012","002","511126",4,0,0
"001012","002","511129",1,0,0
"001012","002","511151",2,0,0
"001012","002","512411",2,0,0
"001012","002","521111",6,0,0
"001012","002","521115",1,0,0
"001012","002","521119",2,0,0
"001012","002","521213",9,0,0
"001012","002","521241",2,0,0
"001012","002","522119",1,0,0
"001012","002","524111",163,0,0
"001012","002","524113",1,0,0
"001012","002","524114",8,0,0
"001012","002","524119",40,0,0
"001012","002","524219",2,0,0
"001012","002","532111",1,0,0
"001012","002","815111",2,0,0
"001012","002","815511",10,0,0
"001012","002","817911",1,0,0
"001030","002","425791",2,1,0
"001030","002","425911",2,1,0
"001030","002","425912",14,1,0
"001030","002","511321",1,0,0
"001030","002","512111",5,0,0
"001030","002","521119",1,0,0
"001030","002","521213",4,0,0
"001030","002","522192",2,0,0
"001030","002","524111",319,0,0
"001030","002","524113",1,0,0
"001030","002","524114",3,0,0
"001030","002","524119",11,0,0
"001030","002","524211",36,0,0
"001030","002","811182",1,0,0
"001030","002","815111",1,0,0
"001030","002","815511",10,0,0
"440780","002","811182",1,0,0
"003019","004","425129",20,1,0
"003019","004","425131",4,1,0
"003019","004","425791",17,1,0
"003019","004","425792",8,1,0
"003019","004","425811",1,1,0
"003019","004","425911",8,1,0
"003019","004","425912",107,1,0
"003019","004","425931",12,1,0
"003019","004","425999",1,1,0
"003019","004","511111",3,0,0
"003019","004","511119",2,0,0
"003019","004","511121",2,0,0
"003019","004","511122",2,0,0
"003019","004","511123",1,0,0
"003019","004","511124",2,0,0
"003019","004","511126",2,0,0
"003019","004","512411",57,0,0
"003019","004","521111",10,0,0
"003019","004","521115",1,0,0
"003019","004","521219",36,0,0
"003019","004","522151",3,0,0
"003019","004","524111",361,0,0
"003019","004","524113",61,0,0
"003019","004","524114",2,0,0
"003019","004","524119",9,0,0
"003019","004","524211",5,0,0
"003019","004","532119",2,0,0
"003019","004","815111",1,0,0
"003019","004","815511",9,0,0
"003024","004","425911",51,1,0
"003024","004","425912",1338,1,0
"003024","004","425999",2,1,0
"003024","004","511111",5,0,0
"003024","004","511119",5,0,0
"003024","004","511121",4,0,0
"003024","004","511122",5,0,0
"003024","004","511126",3,0,0
"003024","004","511129",4,0,0
"003024","004","512411",474,0,0
"003024","004","521111",20,0,0
"003024","004","521119",1,0,0
"003024","004","521219",377,0,0
"003024","004","521241",2,0,0
"003024","004","522151",1,0,0
"003024","004","522192",1,0,0
"003024","004","524111",618,0,0
"003024","004","524113",23,0,0
"003024","004","524114",4,0,0
"003024","004","524119",24,0,0
"003024","004","524211",14,0,0
"003024","004","815111",1,0,0
"003024","004","815511",8,0,0
"003030","004","425122",1,1,0
"003030","004","425131",10,1,31
"003030","004","425911",1,1,1
"003030","004","425912",1,1,1
"003030","004","511121",1,0,0
"003030","004","511126",1,0,0
"003030","004","511129",1,0,0
