"kdsatker","kddept","kdmak","thang","volume"
"001012","002","425129","2022",1.000
"001012","002","425131","2022",2.000
"003019","004","425129","2022",1.000
"003019","004","425131","2022",1.000
"003030","004","425122","2022",1.000
"003030","004","425131","2022",1.000
"003044","004","425122","2022",1.000
"003051","004","425131","2022",1.000
"004028","005","425131","2022",1.000
"004028","005","425233","2022",228.000
"004028","005","425239","2022",13172.000
"005016","006","425131","2022",1.000
"005020","006","425122","2022",10000000.000
"005020","006","425129","2022",5000000.000
"005020","006","425131","2022",75000000.000
"005020","006","425139","2022",5000000.000
"005020","006","425911","2022",10000000.000
"005020","006","425912","2022",5000000.000
"005020","006","425913","2022",5000000.000
"005020","006","425999","2022",5000000.000
"005037","006","425122","2022",5000000.000
"005037","006","425129","2022",5000000.000
"005037","006","425131","2022",30000000.000
"005037","006","425139","2022",5000000.000
"005037","006","425233","2022",500000000.000
"005037","006","425236","2022",2500000000.000
"005037","006","425237","2022",15000000000.000
"005037","006","425238","2022",5000000000.000
"005037","006","425239","2022",150000000.000
"005037","006","425241","2022",3000000000.000
"005037","006","425242","2022",1500000000.000
"005037","006","425243","2022",30000000000.000
"005037","006","425244","2022",200000000.000
"005037","006","425245","2022",500000000.000
"005037","006","425246","2022",500000000.000
"005037","006","425247","2022",100000000.000
"005037","006","425248","2022",3000000000.000
"005037","006","425249","2022",1500000000.000
"005037","006","425911","2022",30000000.000
"005037","006","425912","2022",10000000.000
"005037","006","425913","2022",15000000.000
"005037","006","425999","2022",10000000.000
"005041","006","425122","2022",5000000.000
"005041","006","425129","2022",5000000.000
"005041","006","425131","2022",30000000.000
"005041","006","425139","2022",5000000.000
"005041","006","425233","2022",850000000.000
"005041","006","425236","2022",2500000000.000
"005041","006","425237","2022",17500000000.000
"005041","006","425238","2022",5500000000.000
"005041","006","425239","2022",150000000.000
"005041","006","425241","2022",4000000000.000
"005041","006","425242","2022",1600000000.000
"005041","006","425243","2022",16000000000.000
"005041","006","425244","2022",200000000.000
"005041","006","425245","2022",500000000.000
"005041","006","425246","2022",500000000.000
"005041","006","425247","2022",100000000.000
"005041","006","425248","2022",2000000000.000
"005041","006","425249","2022",3000000000.000
"005041","006","425791","2022",5000000.000
"005041","006","425792","2022",5000000.000
"005041","006","425811","2022",1000000.000
"005041","006","425911","2022",30000000.000
"005041","006","425912","2022",10000000.000
"005041","006","425913","2022",15000000.000
"005041","006","425991","2022",5000000.000
"005041","006","425999","2022",10000000.000
"005058","006","425122","2022",5000000.000
"005058","006","425129","2022",5000000.000
"005058","006","425131","2022",30000000.000
"005058","006","425139","2022",5000000.000
"005058","006","425233","2022",500000000.000
"005058","006","425236","2022",3000000000.000
"005058","006","425237","2022",19000000000.000
"005058","006","425238","2022",6000000000.000
"005058","006","425239","2022",1300000000.000
"005058","006","425241","2022",3500000000.000
"005058","006","425242","2022",3700000000.000
"005058","006","425243","2022",19000000000.000
"005058","006","425244","2022",250000000.000
"005058","006","425245","2022",500000000.000
"005058","006","425246","2022",800000000.000
"005058","006","425247","2022",100000000.000
"005058","006","425248","2022",3500000000.000
"005058","006","425249","2022",3000000000.000
"005058","006","425911","2022",30000000.000
"005058","006","425912","2022",10000000.000
"005058","006","425913","2022",15000000.000
"005058","006","425999","2022",10000000.000
"005062","006","425122","2022",5500000.000
"005062","006","425129","2022",5500000.000
"005062","006","425131","2022",33000000.000
"005062","006","425139","2022",5500000.000
"005062","006","425233","2022",550000000.000
"005062","006","425236","2022",2750000000.000
"005062","006","425237","2022",16500000000.000
"005062","006","425238","2022",5500000000.000
"005062","006","425239","2022",165000000.000
"005062","006","425241","2022",3300000000.000
"005062","006","425242","2022",1650000000.000
"005062","006","425243","2022",17600000000.000
"005062","006","425244","2022",220000000.000
"005062","006","425245","2022",550000000.000
"005062","006","425246","2022",550000000.000
"005062","006","425247","2022",110000000.000
"005062","006","425248","2022",2200000000.000
"005062","006","425249","2022",1650000000.000
"005062","006","425911","2022",33000000.000
"005062","006","425912","2022",11000000.000
"005062","006","425913","2022",16500000.000
"005062","006","425999","2022",11000000.000
"005079","006","425122","2022",1000000.000
"005079","006","425129","2022",1000000.000
"005079","006","425131","2022",1000000.000
"005079","006","425139","2022",1000000.000
"005079","006","425233","2022",100000000.000
"005079","006","425236","2022",200000000.000
"005079","006","425237","2022",10000000000.000
"005079","006","425238","2022",1000000000.000
"005079","006","425239","2022",75000000.000
"005079","006","425241","2022",2000000000.000
"005079","006","425242","2022",1000000.000
"005079","006","425243","2022",5000000000.000
"005079","006","425244","2022",1000000.000
"005079","006","425245","2022",200000000.000
"005079","006","425246","2022",1500000000.000
"005079","006","425247","2022",1000000.000
"005079","006","425248","2022",1000000.000
"005079","006","425249","2022",1000000.000
"005079","006","425811","2022",1000000.000
"005079","006","425911","2022",30000000.000
"005079","006","425912","2022",11000000.000
"005079","006","425913","2022",15000000.000
"005079","006","425999","2022",11000000.000
"005083","006","425131","2022",1.000
"005090","006","425131","2022",1.000
"005090","006","425233","2022",1.000
"005090","006","425236","2022",1.000
"005090","006","425237","2022",1.000
"005090","006","425238","2022",1.000
"005090","006","425243","2022",1.000
"005090","006","425246","2022",1.000
"005090","006","425249","2022",1.000
"005105","006","425131","2022",1.000
"005105","006","425233","2022",1.000
"005105","006","425237","2022",1.000
"005105","006","425238","2022",1.000
"005105","006","425241","2022",1.000
"005105","006","425243","2022",1.000
"005105","006","425246","2022",1.000
"005105","006","425249","2022",1.000
"005112","006","425122","2022",1.000
"005112","006","425131","2022",1.000
"005112","006","425233","2022",1.000
"005112","006","425236","2022",1.000
"005112","006","425237","2022",1.000
"005112","006","425238","2022",1.000
"005112","006","425239","2022",1.000
"005112","006","425243","2022",1.000
"005112","006","425246","2022",1.000
"005126","006","425131","2022",1.000
"005126","006","425233","2022",1.000
"005126","006","425237","2022",1.000
"005126","006","425238","2022",1.000
"005126","006","425241","2022",1.000
