"KDSATKER","KDDEPT","KDMAK","JML_BILLING","JML_LAYANAN","REAL_VOLUME"
"097886","000","425131",2,1,2
"098022","000","425131",1,1,1
"098057","000","425131",1,1,1
"098331","000","425131",1,1,11
"098370","000","425131",1,1,2
"098420","000","425131",1,1,2
"098441","000","425911",1,1,1
"098612","000","425131",3,1,7
"098629","000","425131",1,1,1
"098682","000","425131",1,1,1
"098722","000","425131",1,1,1
"098832","000","425131",1,1,1
"098860","000","425131",1,1,1
"098881","000","425131",1,1,1
"099155","000","425131",1,1,1
"099214","000","425131",1,1,1
"099286","000","425131",1,1,1
"099290","000","425131",2,1,2
"099361","000","425132",1,1,1
"099375","000","425129",1,1,1
"099375","000","425131",1,1,1
"099401","000","425131",2,1,2
"099418","000","425131",1,1,1
"099508","000","425131",1,1,1
"099549","000","425131",1,1,1
"099659","000","425131",2,1,2
"099663","000","425131",1,1,1
"099670","000","425131",1,1,1
"099780","000","425131",2,1,2
"099883","000","425131",1,1,2
"108025","000","425131",1,1,1
"307576","000","425131",1,1,4
"307818","000","425131",1,1,1
"307911","000","425131",1,1,1
"308166","000","425131",2,1,5
"309083","000","425131",1,1,3
"309113","000","425131",1,1,6
"400038","000","425131",1,1,1
"400050","000","425131",1,1,1
"400075","000","425131",1,1,7
"400194","000","425131",1,1,1
"400342","000","425912",1,1,1
"400540","000","425131",1,1,1
"400571","000","425131",1,1,1
"400879","000","425131",1,1,1
"401339","000","425131",3,1,3
"401784","000","425764",1,1,1
"402298","000","425131",1,1,1
"402449","000","425131",2,1,2
"402588","000","425131",1,1,1
"402851","000","425131",1,1,6
"403824","000","425122",1,1,1
"418694","000","425122",1,1,1
"419510","000","425131",1,1,1
"419991","000","425131",2,1,2
"427582","000","425131",2,1,2
"450819","000","425131",1,1,1
"477225","000","425131",1,1,1
"531844","000","425131",4,1,4
"568725","000","425131",1,1,10
"579187","000","425131",1,1,1
"614670","000","425131",2,1,2
"650786","000","425131",2,1,2
"662990","000","425131",1,1,1
"663157","000","425131",4,1,4
"663182","000","425131",1,1,6
"670184","000","425131",1,1,1
"681450","000","425131",2,1,2
"000017","001","425121",2,1,195898887
"000017","001","425122",3,1,1268066782
"000017","001","425131",18,1,0
"000017","001","425791",16,1,0
"000017","001","425793",1,1,0
"000017","001","425911",4,1,0
"000017","001","425912",3,1,0
"000017","001","425913",3,1,0
"000017","001","425934",12,1,0
"000021","001","425791",4,1,0
"000021","001","425793",2,1,0
"000021","001","425912",68,1,0
"001012","002","425122",3,1,133244999
"001012","002","425129",5,1,578322122
"001012","002","425131",154,1,0
"001012","002","425791",1,1,0
"001012","002","425811",10,1,0
"001012","002","425911",12,1,0
"001012","002","425912",44,1,0
"001012","002","425913",15,1,0
"001012","002","425934",12,1,0
"001012","002","511121",1,0,0
"001012","002","815514",2,0,0
"001030","002","425791",1,1,0
"001030","002","425911",4,1,0
"001030","002","425912",29,1,0
"003019","004","425129",6,1,0
"003019","004","425131",3,1,0
"003019","004","425429",17,3,490
"003019","004","425691",1,1,1
"003019","004","425791",12,1,0
"003019","004","425792",12,1,0
"003019","004","425811",1,1,0
"003019","004","425911",86,1,0
"003019","004","425912",54,1,0
"003019","004","425931",6,1,0
"003024","004","425911",96,1,0
"003024","004","425912",904,1,0
"003024","004","425999",7,1,0
"003030","004","425122",2,1,0
"003030","004","425911",1,1,1
"003044","004","425122",1,1,0
"003051","004","425131",1,1,1
"350009","004","425122",1,1,0
"418552","004","425129",1,1,0
"418553","004","425122",1,1,0
"418554","004","815111",1,0,0
"445237","004","425129",3,1,57572062
"445237","004","425131",1,1,0
"445237","004","425911",2,1,3
"445243","004","425122",2,1,2
"445243","004","425131",17,1,23921153
"445243","004","425911",3,1,2
"445252","004","425129",1,1,92345678
"445252","004","425911",1,1,1
"445252","004","425912",1,1,1
"445268","004","425122",1,1,0
"445268","004","425131",1,1,1
"445274","004","425129",1,1,2
"445274","004","425131",1,1,3
"445274","004","425911",1,1,0
"445274","004","425912",28,1,28
"445280","004","425129",4,1,0
"445280","004","425131",1,1,7.88
"445280","004","425811",1,1,45
"445280","004","425911",1,1,1
"445280","004","425912",5,1,5
"445299","004","425122",1,1,0
"445299","004","425912",1,1,1
"450774","004","425129",1,1,23808009
"450780","004","425911",1,1,0
"450780","004","425912",2,1,2
"450799","004","425129",1,1,0
"450799","004","425131",1,1,0
"450799","004","425911",1,1,1
"450799","004","425912",2,1,0
"450800","004","425122",2,1,8644331
"450819","004","425129",3,1,131308000
"450819","004","425912",1,1,0
"450825","004","425122",1,1,17883972
"450825","004","425129",1,1,61500000
"450825","004","425912",1,1,0
"579213","004","425129",1,1,87315000
"579213","004","425912",1,1,1
"579220","004","425911",3,1,3
"579220","004","425912",39,1,39
"579234","004","425122",2,1,0
"579234","004","425131",2,1,2
"579234","004","425912",1,1,1
"631648","004","425129",1,1,0
"631648","004","425131",1,1,0
"631648","004","425151",81,4,8178.02
"631648","004","425421",119,8,2407
"631648","004","425699",1,1,0
"631648","004","425911",2,1,2
"631648","004","425912",2,1,2
"662745","004","425129",2,1,0
"662745","004","425911",3,1,0
"662745","004","425912",1,1,0
"890572","004","425131",2,1,0
"890572","004","425912",1,1,0
"890594","004","425129",1,1,83348000
"890594","004","425131",1,1,3
"890594","004","425911",1,1,0
"890608","004","425131",7,1,0
"890614","004","425122",1,1,6795650
"890620","004","425129",1,1,15678999
"890620","004","425911",1,1,0
"890620","004","425912",2,1,0
"890639","004","425122",3,1,3
"890639","004","425131",17,1,70
"890645","004","425129",4,1,97310677
"890645","004","425131",1,1,0
"890645","004","425911",1,1,1
"890651","004","425122",1,1,0
"890651","004","425131",1,1,0
"890660","004","425122",2,1,55881000
"890660","004","425911",1,1,0
"890660","004","425912",1,1,0
"890660","004","511129",1,0,0
"890676","004","425122",1,1,1
"890676","004","425131",1,1,1
"890682","004","425122",1,1,0
"890682","004","425912",6,1,0
"004011","005","425931",1,1,0
"004028","005","425233",13,1,57
"004028","005","425239",316,11,14408
"004028","005","425911",2,1,0
"004028","005","425912",3,1,2
"004028","005","511123",1,0,0
"004028","005","511124",1,0,0
"097450","005","425129",1,1,15555555
"097450","005","425131",162,1,764
"097450","005","425912",1,1,1
"097467","005","425122",2,1,20652029
"097467","005","425912",1,1,1
"097471","005","425131",4,1,4
"097471","005","425764",1,1,7
"097488","005","425131",5,1,5
"097500","005","425912",2,1,5
"097521","005","425122",1,1,0
"097535","005","425131",1,1,1
"097535","005","425912",2,1,0
"097535","005","425913",4,1,0
"097535","005","425999",2,1,2
"097542","005","425131",1,1,1
"097542","005","425912",1,1,11
"097542","005","425913",1,1,1
"097556","005","425131",1,1,1
"097560","005","425122",1,1,0
"097560","005","425131",2,1,3
"097577","005","425131",1,1,1
"097598","005","425129",4,1,37754999
"097598","005","425131",3,1,2
"097603","005","425131",1,1,1
"097610","005","425912",1,1,1
"097624","005","425131",2,1,2
"097631","005","425131",1,1,1
"097645","005","425791",1,1,1
"097645","005","425911",1,1,1
"097666","005","425131",1,1,1
"097670","005","425121",1,1,14700000
"097670","005","425131",1,1,1
"097687","005","425122",1,1,4400000
"097687","005","425129",1,1,1005000
"097687","005","425913",1,1,1
"097691","005","425131",1,1,3
"097709","005","425811",1,1,1
"097713","005","425131",2,1,2
"097713","005","425911",1,1,11
"097713","005","425912",3,1,3
"097720","005","425122",1,1,28090000
"097720","005","425131",2,1,2
"097720","005","425912",1,1,1
"097734","005","425122",1,1,0
"097755","005","425131",1,1,1
"097755","005","425233",1,1,6
"097755","005","425239",2,2,2
"097780","005","425913",1,1,1
"097797","005","425233",5,2,10
"097797","005","425239",21,11,160
"097823","005","425131",1,1,1
"097830","005","425131",1,1,1
"097865","005","425129",1,1,21999999
"097865","005","425131",2,1,2
"097872","005","425911",1,1,1
"097890","005","425131",1,1,1
"097912","005","425131",1,1,1
"097929","005","425913",3,1,0
"097933","005","425131",1,1,3
"097940","005","425131",1,1,1
"097954","005","425131",1,1,1
"097961","005","425131",1,1,0
"097975","005","425122",1,1,0
"097996","005","425131",1,1,1
"098001","005","425131",1,1,1
"098001","005","425912",1,1,0
"098015","005","425122",1,1,46169900
"098022","005","425131",1,1,25
"098022","005","425233",1,1,2
"098022","005","425239",3,3,7
"098022","005","425912",2,1,2
"098036","005","425121",1,1,17450889
"098036","005","425912",1,1,0
"098036","005","425913",2,1,1
"098040","005","425131",1,1,36
"098057","005","425131",7,1,7
"098057","005","425911",1,1,351050
"098061","005","425131",10,1,10
"098078","005","425122",1,1,0
"098078","005","425131",1,1,1
"098082","005","425122",1,1,0
"098111","005","425131",2,1,2
"098111","005","815514",1,0,0
"098125","005","425131",1,1,1
"098146","005","425131",1,1,7086000
"098150","005","425131",1,1,1
"098171","005","425122",1,1,3000000
"098192","005","425131",1,1,1
"098200","005","425912",1,1,1
"098214","005","425131",1,1,1
"098221","005","425131",1,1,1
"098235","005","425131",1,1,1
"098242","005","425131",6,1,6
"098260","005","425131",1,1,0
"098260","005","425911",2,1,0
"098277","005","425131",8,1,12
"098277","005","425239",1,1,13
"098277","005","425912",1,1,1
"098298","005","425131",1,1,1
"098331","005","425131",11,1,100012
"098345","005","425911",1,1,1
"098352","005","425131",1,1,1
"098370","005","425131",1,1,5
"098387","005","425121",1,1,0
"098387","005","425911",1,1,0
"098409","005","425131",1,1,12
"098420","005","425129",2,1,0
"098420","005","425131",7,1,10
"098434","005","425122",1,1,215251978
"098434","005","425129",1,1,366800000
"098434","005","425912",2,1,0
"098441","005","425129",1,1,268008000
"098480","005","425129",1,1,2799979
"098480","005","425913",1,1,1
"098530","005","425131",10,1,9
"098612","005","425121",1,1,11
"098612","005","425131",9,1,17
"098612","005","815511",1,0,0
"098633","005","425122",1,1,0
"098633","005","425131",1,1,1
"098654","005","425131",1,1,1
"098682","005","425131",1,1,2
"098701","005","425911",1,1,1
"098722","005","425131",11,1,11
"098739","005","425122",1,1,0
"098739","005","425131",1,1,1
"098743","005","425131",1,1,1
