"KDSATKER","KDDEPT","KDMAK","JML_BILLING","JML_LAYANAN","REAL_VOLUME"
"098015","005","425122",1,1,66789000
"098015","005","425131",1,1,1
"098022","005","425131",1,1,1
"098036","005","425122",1,1,2357999
"098036","005","425131",1,1,1
"098057","005","425131",17,1,17
"098061","005","425131",1,1,2
"098078","005","425131",1,1,1
"098082","005","425131",1,1,1
"098104","005","425913",1,1,1
"098111","005","425131",7,1,7
"098111","005","425911",1,1,1
"098125","005","425122",1,1,0
"098125","005","425131",9,1,10
"098132","005","425131",1,1,1
"098150","005","425122",1,1,0
"098150","005","425131",2,1,2
"098167","005","425131",2,1,3
"098167","005","425913",1,1,1
"098192","005","425131",1,1,1
"098214","005","425122",1,1,0
"098214","005","425131",1,1,1
"098221","005","425131",2,1,2
"098235","005","425131",5,1,5
"098242","005","425131",1,1,1
"098256","005","425131",1,1,1
"098260","005","425131",1,1,1
"098277","005","425131",1,1,1
"098277","005","425991",1,1,1
"098281","005","425131",4,1,4
"098281","005","425912",1,1,1
"098303","005","425131",12,1,12
"098310","005","425131",2,1,2
"098324","005","425131",2,1,2
"098331","005","425131",12,1,24
"098387","005","425131",2,1,2
"098391","005","425131",1,1,1
"098409","005","425131",1,1,1
"098413","005","425122",1,1,0
"098420","005","425129",1,1,0
"098420","005","425131",5,1,10
"098434","005","425912",1,1,0
"098462","005","425911",1,1,1
"098476","005","425129",1,1,5200999
"098551","005","425129",1,1,100680021
"098586","005","425129",1,1,112000
"098608","005","425131",1,1,4
"098612","005","425131",8,1,19
"098629","005","425131",3,1,3
"098633","005","425131",2,1,2
"098640","005","425131",1,1,1
"098654","005","425131",1,1,1
"098675","005","425131",1,1,1
"098675","005","425764",1,1,1
"098682","005","425122",1,1,0
"098696","005","425131",11,1,11
"098701","005","425131",1,1,1
"098722","005","425131",10,1,10
"098739","005","425122",1,1,0
"098743","005","425129",1,1,1
"098750","005","425131",12,1,12
"098764","005","425131",12,1,12
"098771","005","425122",2,1,0
"098771","005","425131",1,1,1
"098785","005","425131",1,1,1
"098792","005","425131",1,1,1
"098807","005","425131",1,1,1
"098811","005","425131",1,1,1
"098811","005","425911",1,1,1
"098828","005","425131",1,1,1
"098832","005","425131",1,1,1
"098832","005","425911",1,1,1
"098849","005","425131",8,1,8
"098853","005","425129",1,1,0
"098853","005","425131",1,1,1
"098860","005","425131",14,1,49
"098874","005","425911",1,1,1
"098881","005","425131",2,1,3
"098895","005","425131",1,1,1
"098895","005","425911",1,1,0
"098900","005","425131",1,1,1
"098917","005","425131",1,1,1
"098942","005","425131",4,1,4
"098963","005","425122",1,1,8222222
"098963","005","425131",1,1,1
"098984","005","425131",1,1,1
"098991","005","425122",1,1,2165500
"098991","005","425131",1,1,1
"099003","005","425122",1,1,1678999
"099024","005","425131",1,1,1
"099031","005","425122",1,1,7222222
"099031","005","425131",2,1,2
"099045","005","425131",1,1,1
"099045","005","425764",1,1,1
"099052","005","425912",2,1,0
"099062","005","425239",62,2,3455
"099063","005","425231",4,1,379
"099063","005","425232",36,1,2334
"099063","005","425233",225,20,3182
"099063","005","425239",826,71,111771
"099064","005","425231",19,1,42
"099064","005","425232",1,1,22
"099064","005","425233",486,7,3219
"099064","005","425239",540,12,65641
"099065","005","425231",41,1,79
"099065","005","425232",75,1,271
"099065","005","425233",487,8,2232
"099065","005","425239",2937,53,67740
"099067","005","425239",55,2,1899
"099068","005","425131",1,1,1
"099068","005","425231",7,1,31
"099068","005","425232",51,1,989
"099068","005","425233",325,9,2986
"099068","005","425239",759,20,57358
"099069","005","425232",89,1,148
"099069","005","425233",81,5,195
"099069","005","425239",1330,29,8092
"099070","005","425122",1,1,1
"099071","005","425131",1,1,1
"099071","005","425232",47,1,393
"099071","005","425233",104,9,390
"099071","005","425239",569,43,15102
"099072","005","425231",3,1,3
"099072","005","425232",58,1,242
"099072","005","425233",109,4,362
"099072","005","425239",581,42,9092
"099073","005","425232",47,1,172
"099073","005","425233",66,9,184
"099073","005","425239",280,38,5975
"099073","005","425912",1,1,0
"099074","005","425232",27,1,261
"099074","005","425233",111,7,1237
"099074","005","425239",415,41,12994
"099075","005","425231",3,1,3
"099075","005","425232",45,1,92
"099075","005","425233",63,5,135
"099075","005","425239",523,32,6442
"099077","005","425231",5,1,29
"099077","005","425232",68,1,883
"099077","005","425233",373,5,2262
"099077","005","425239",875,13,29713
"099078","005","425231",1,1,1
"099078","005","425232",29,1,341
"099078","005","425233",91,5,471
"099078","005","425239",172,14,10723
"099079","005","425231",57,1,110
"099079","005","425232",205,1,724
"099079","005","425233",306,10,1601
"099079","005","425239",2471,55,33008
"099080","005","425232",155,1,528
"099080","005","425233",223,8,577
"099080","005","425239",1103,51,17682
"099081","005","425131",1,1,1
"099081","005","425232",13,1,65
"099081","005","425233",31,4,56
"099081","005","425239",159,29,2838
"099082","005","425231",19,1,27
"099082","005","425232",106,1,284
"099082","005","425233",283,10,637
"099082","005","425239",1571,50,12454
"099083","005","425232",51,1,136
"099083","005","425233",99,5,168
"099083","005","425239",456,38,6205
"099083","005","425764",1,1,1
"099084","005","425232",50,1,195
"099084","005","425233",65,8,294
"099084","005","425239",408,33,7055
"099085","005","425232",81,1,152
"099085","005","425233",165,7,308
"099085","005","425239",842,39,11655
"099086","005","425232",21,1,245
"099086","005","425233",37,6,240
"099086","005","425239",205,31,6138
"099087","005","425131",1,1,1
"099088","005","425232",32,1,191
"099088","005","425233",37,5,197
"099088","005","425239",231,33,4641
"099089","005","425231",3,1,4
"099089","005","425232",62,1,102
"099089","005","425233",74,6,113
"099089","005","425239",541,43,5420
"099090","005","425239",46,2,1291
"099091","005","425911",1,1,1
"099092","005","425231",20,1,29
"099092","005","425232",72,1,846
"099092","005","425233",402,17,1631
"099092","005","425239",1709,78,40924
"099093","005","425232",40,1,116
"099093","005","425233",81,5,187
"099093","005","425239",488,31,5807
"099094","005","425231",13,1,14
"099094","005","425232",57,1,93
"099094","005","425233",160,10,629
"099094","005","425239",757,39,10418
"099095","005","425232",57,1,178
"099095","005","425233",96,7,308
"099095","005","425239",518,41,9042
"099095","005","425912",4,1,4
"099096","005","425231",1,1,3
"099096","005","425232",50,1,62
"099096","005","425233",179,5,501
"099096","005","425239",1245,39,14725
"099097","005","425231",2,1,2
"099097","005","425232",20,1,96
"099097","005","425233",86,3,186
"099097","005","425239",412,23,5628
"099098","005","425231",2,1,3
"099098","005","425232",109,1,332
"099098","005","425233",146,6,427
"099098","005","425239",732,35,7123
"099099","005","425232",28,1,43
"099099","005","425233",177,8,299
"099099","005","425239",976,48,12279
"099100","005","425231",1,1,1
"099100","005","425233",55,6,229
"099100","005","425239",127,5,6574
"099101","005","425232",20,1,284
"099101","005","425233",50,4,319
"099101","005","425239",199,19,5470
"099102","005","425231",8,1,11
"099102","005","425232",2,1,2
"099102","005","425233",60,7,330
"099102","005","425239",390,43,8782
"099103","005","425231",6,1,10
"099103","005","425232",53,1,343
"099103","005","425233",173,6,419
"099103","005","425239",779,39,10917
"099104","005","425231",2,1,2
"099104","005","425232",23,1,59
"099104","005","425233",160,8,326
"099104","005","425239",912,54,12291
"099105","005","425231",5,1,5
"099105","005","425232",23,1,28
"099105","005","425233",126,7,330
"099105","005","425239",666,37,11612
"099106","005","425232",18,1,27
"099106","005","425233",137,6,230
"099106","005","425239",550,33,4839
"099106","005","425764",1,1,1
"099107","005","425231",4,1,4
"099107","005","425232",21,1,147
"099107","005","425233",63,3,344
"099107","005","425239",369,27,6734
"099108","005","425232",105,1,188
"099108","005","425233",137,9,226
