"KDSATKER","MAX(REVISION_NUMBER)"
"400390",3
"400395",4
"400396",4
"400409",2
"400410",2
"400415",5
"400416",3
"400421",7
"400422",4
"400430",4
"400431",3
"400446",5
"400447",4
"400452",4
"400453",3
"400461",5
"400462",4
"400477",5
"400478",3
"400483",5
"400484",3
"400492",10
"400493",3
"400503",8
"400504",3
"400512",8
"400513",3
"400528",5
"400529",3
"400534",6
"400535",4
"400540",5
"400541",2
"400559",4
"400560",2
"400565",4
"400566",2
"400567",6
"400568",7
"400569",6
"400570",5
"400571",3
"400572",3
"400573",6
"400574",5
"400580",3
"400581",3
"400596",5
"400597",4
"400600",4
"400601",3
"400616",4
"400617",2
"400622",4
"400623",3
"400631",5
"400632",3
"400647",5
"400648",3
"400653",6
"400654",3
"400662",4
"400663",2
"400678",4
"400679",3
"400690",6
"400691",2
"400696",4
"400697",5
"400698",10
"400699",12
"400700",7
"400701",5
"400702",7
"400704",3
"400705",1
"400707",5
"400708",7
"400709",14
"400710",4
"400711",4
"400712",9
"400713",7
"400714",10
"400715",3
"400716",1
"400717",3
"400718",4
"400719",5
"400729",4
"400730",3
"400735",6
"400736",2
"400740",8
"400741",4
"400742",3
"400750",6
"400751",3
"400757",7
"400758",4
"400759",7
"400762",4
"400764",2
"400766",3
"400767",3
"400768",5
"400772",5
"400773",3
"400781",4
"400782",1
"400797",5
"400798",3
"400814",5
"400817",4
"400818",1
"400820",4
"400821",4
"400822",4
"400823",5
"400824",3
"400825",6
"400826",2
"400832",5
"400833",3
"400834",5
"400835",2
"400836",4
"400837",4
"400843",7
"400847",7
"400848",3
"400849",3
"400854",4
"400855",2
"400860",4
"400861",3
"400874",7
"400879",3
"400880",2
"400885",5
"400886",3
"400891",3
"400892",3
"400905",4
"400906",3
"400911",3
"400912",2
"400920",3
"400921",2
"400930",6
"400931",4
"400932",5
"400933",4
"400934",5
"400935",4
"400936",5
"400937",3
"400939",6
"400942",4
"400943",4
"400944",2
"400945",9
"400946",7
"400947",2
"400951",7
"400952",3
"400967",4
"400968",3
"400973",4
"400974",3
"400982",5
"400983",3
"400998",5
"400999",3
"401002",5
"401003",3
"401018",2
"401024",4
"401025",3
"401030",5
"401031",3
"401041",7
"401042",6
"401043",14
"401049",5
"401050",2
"401055",6
"401056",3
"401061",4
"401062",3
"401070",3
"401071",2
"401086",4
"401087",4
"401092",5
"401093",3
"401106",2
"401107",2
"401112",6
"401113",3
"401121",3
"401122",3
"401137",4
"401138",3
"401143",4
"401144",3
"401152",4
"401153",2
"401155",1
"401168",5
"401169",2
"401174",5
"401175",4
"401180",3
"401181",3
"401199",4
"401200",5
"401201",3
"401202",3
"401219",4
"401220",3
"401225",5
"401226",2
"401231",5
"401232",3
"401240",4
"401241",3
"401256",4
"401257",3
"401262",4
"401263",3
"401271",5
"401272",3
"401287",4
"401288",3
"401293",5
"401294",3
"401307",7
"401308",3
"401313",5
"401322",6
"401323",4
"401338",5
"401339",3
"401344",4
"401345",2
"401350",5
"401351",4
"401369",4
"401370",3
"401375",4
"401376",2
"401381",4
"401382",3
"401390",5
"401391",3
"401397",6
"401401",5
"401402",6
"401403",3
"401410",5
"401411",3
"401426",5
"401427",3
"401432",6
"401433",1
"401441",4
"401442",3
"401457",6
"401458",3
"401463",4
"401464",3
"401472",4
"401473",2
"401488",3
"401489",2
"401494",7
"401495",2
"401508",5
"401509",3
"401514",5
"401515",3
"401520",6
"401521",3
"401539",6
"401540",2
"401545",5
"401546",3
"401551",4
"401552",3
"401560",5
"401561",3
"401576",4
"401577",3
"401582",7
"401583",6
"401591",4
"401592",2
"401602",4
"401603",1
"401611",4
"401612",1
"401627",5
"401628",2
"401633",5
"401634",3
"401642",4
"401643",3
"401650",9
"401651",4
"401652",10
"401653",7
"401654",6
"401655",10
"401656",13
"401657",9
"401658",5
"401659",3
"401660",10
"401661",14
"401662",10
"401663",9
"401664",5
"401665",3
"401666",12
"401667",12
"401668",8
"401669",7
"401670",5
"401671",4
"401672",6
"401673",9
"401674",17
"401676",5
"401677",5
"401678",8
"401679",7
"401680",6
"401681",11
"401682",12
"401683",6
"401684",10
"401685",6
"401686",8
"401687",7
"401688",7
"401689",3
"401690",1
"401695",7
"401696",3
"401709",5
"401710",3
"401715",4
"401716",1
"401721",5
"401730",5
"401731",2
"401741",9
"401742",6
"401744",8
"401745",7
"401746",7
"401747",3
"401752",6
"401759",1
"401761",4
"401762",3
"401765",2
"401766",1
"401777",7
"401778",4
"401783",2
"401784",2
"401791",1
"401792",1
"401793",1
"401795",1
"401803",2
"401804",1
"401812",1
"401814",7
"401815",6
"401816",6
"401817",9
"401818",6
"401819",7
"401820",4
"401821",6
"401822",6
"401823",7
"401827",3
"401828",3
"401829",3
"401830",6
"401831",7
"401832",4
"401833",4
"401834",4
"401835",3
"401836",2
"401837",6
"401838",3
"401839",4
"401840",4
"401841",3
"401842",5
"401843",5
"401844",6
"401845",6
"401846",6
"401847",6
"401848",5
"401850",5
"401851",4
"401854",3
"401855",6
"401856",3
"401858",3
"401859",4
"401860",2
"401861",2
"401862",1
"401865",4
"401866",3
"401868",3
"401869",4
"401870",5
"401871",2
"401873",7
"401874",2
"401875",3
"401876",5
"401877",4
"401878",4
"401879",3
"401880",2
"401881",2
"401882",6
"401883",5
"401884",4
"401885",6
"401886",3
"401887",8
"401888",3
"401889",9
"401890",4
"401891",7
"401892",4
"401893",6
"401894",5
"401895",3
"401896",4
"401897",3
"401898",3
"401899",9
"401900",6
"401901",3
"401902",3
"401903",4
"401904",3
"401905",3
"401906",2
"401907",4
"401908",6
"401909",6
"401910",3
"401911",5
"401912",4
"401913",3
"401914",6
"401915",8
"401916",5
"401917",3
"401918",3
"401919",6
"401920",4
"401921",6
"401922",4
"401923",3
"401924",4
"401925",7
"401926",3
"401927",4
"401928",5
"401929",3
"401930",3
"401931",5
"401932",2
"401933",4
"401934",4
"401935",5
"401936",4
"401937",5
"401938",6
"401939",5
"401940",6
"401941",7
"401942",4
"401943",5
"401944",7
"401945",6
"401946",3
"401947",4
"401948",1
"401949",3
"401950",7
"401951",5
"401952",1
"401953",5
"401954",3
"401955",3
"401956",5
"401957",5
"401958",5
"401959",7
"401960",5
"401961",4
"401962",4
"401963",2
"401964",5
"401965",6
"401966",5
"401967",7
"401968",4
"401969",5
"401970",6
"401971",3
"401972",7
"401973",3
"401975",2
"401976",2
"401977",3
"401978",4
"401979",1
"401981",2
"401982",2
"401983",5
"401984",3
"401985",3
"401986",2
"401987",2
"401988",3
"401989",1
"401990",4
"401991",3
"401992",3
"401993",2
"401994",4
"401995",2
"401996",1
"401997",2
"401998",3
"401999",3
"402000",3
"402001",3
"402002",2
"402004",5
"402005",1
"402008",3
"402009",3
"402010",4
"402011",3
"402012",3
"402013",4
"402014",3
"402015",2
"402016",2
"402017",4
"402018",2
"402019",2
"402020",4
"402021",3
"402022",4
"402023",2
"402024",2
"402025",3
"402026",1
"402027",3
"402028",3
"402029",4
"402030",2
"402031",4
"402032",4
"402033",2
"402034",3
"402035",3
"402036",3
"402037",1
"402038",2
"402039",3
"402040",3
"402041",3
"402042",3
"402050",5
"402051",3
"402066",4
"402067",3
"402072",6
"402073",3
"402081",4
"402082",3
"402097",5
"402098",3
"402101",5
"402102",3
"402117",4
"402118",4
"402123",5
"402124",2
"402132",6
"402133",3
"402148",7
"402149",4
"402154",2
"402155",2
"402160",2
"402161",2
"402179",3
"402180",3
"402185",7
"402186",2
"402191",7
"402192",3
"402205",6
"402206",3
"402211",5
"402212",2
"402220",6
"402221",3
"402236",7
"402237",4
"402242",5
"402243",2
"402251",5
"402252",3
"402267",5
"402268",1
"402273",3
"402274",3
"402282",5
"402283",3
"402298",3
"402299",3
"402302",6
"402303",3
"402318",6
"402319",3
"402324",6
"402325",3
"402330",3
"402331",2
"402349",4
"402350",4
"402355",3
"402356",3
"402361",6
"402362",3
"402370",3
"402371",3
"402386",3
"402387",3
"402392",3
"402393",4
"402406",4
"402407",4
"402412",4
"402413",3
"402421",4
"402437",4
"402438",3
"402443",2
"402444",3
"402449",6
"402450",3
"402452",5
"402453",3
"402468",3
"402469",2
"402474",4
"402475",3
"402480",6
"402481",3
"402500",5
"402501",3
"402519",5
"402520",3
"402525",5
"402526",3
"402531",4
"402532",3
"402540",6
"402541",2
"402556",5
"402557",3
"402562",7
"402563",3
"402571",2
"402572",1
"402587",4
"402588",4
"402593",3
"402594",3
"402607",5
"402608",1
"402613",2
"402614",4
"402622",5
"402623",4
"402638",4
"402639",2
"402644",5
"402645",2
"402650",8
"402651",3
"402669",3
"402670",3
"402675",5
"402676",3
"402681",4
"402682",3
"402690",5
"402691",3
"402701",5
"402702",3
"402710",5
"402711",1
"402726",4
"402727",3
"402732",3
"402733",2
"402741",4
"402742",3
"402757",4
"402763",4
"402764",2
"402772",5
"402773",4
"402788",4
"402789",2
"402794",4
"402795",3
"402808",4
"402809",3
"402814",5
"402815",3
"402820",4
"402821",3
"402839",4
"402840",3
"402845",3
"402846",3
"402851",3
"402852",3
"402860",5
"402861",4
"402876",3
"402882",4
"402883",3
"402891",6
"402892",2
"402902",3
"402903",3
"402911",4
"402912",2
"402927",2
"402933",2
"402942",5
"402943",3
"402958",5
"402959",2
"402964",6
"402965",2
"402970",6
"402971",3
"402989",7
"402990",4
"402995",4
"402996",3
"403009",7
"403010",3
"403013",13
"403015",3
"403016",2
"403021",5
"403022",3
"403030",5
"403031",1
"403046",5
"403047",3
"403052",6
"403053",3
"403061",3
"403062",2
"403077",4
"403078",3
"403083",3
"403084",3
"403092",3
"403093",3
"403112",8
"403171",8
"403200",9
"403216",6
"403222",10
"403231",10
"403247",13
"403253",2
"403262",5
"403278",5
"403284",3
"403290",7
"403304",5
"403310",4
"403329",9
"403335",3
"403341",5
"403350",6
"403366",4
"403372",7
"403381",2
"403397",5
"403399",4
"403400",3
"403401",6
"403402",4
"403403",4
"403404",2
"403405",3
"403406",3
"403407",3
"403408",3
"403409",3
"403410",3
"403411",1
"403412",2
"403413",3
"403414",3
"403415",1
"403416",1
"403417",5
"403418",3
"403419",1
"403420",3
"403421",2
"403422",7
"403423",1
"403424",3
"403425",3
"403426",4
"403427",3
"403428",3
"403429",2
"403430",3
"403431",2
"403432",5
"403434",4
"403435",3
"403439",6
"403440",5
"403441",6
"403442",7
"403443",2
"403444",5
"403448",4
"403450",6
"403452",7
"403454",3
"403455",6
"403457",6
"403458",6
"403460",6
"403461",10
"403462",9
"403463",5
"403464",4
"403465",8
"403466",6
"403467",9
"403468",7
"403469",6
"403470",7
"403471",8
"403472",5
"403473",4
"403474",7
"403475",8
"403476",6
"403477",7
"403479",3
"403481",6
"403485",9
"403491",3
"403505",6
"403511",4
"403520",3
"403536",6
"403542",3
"403551",3
"403567",5
"403573",5
"403582",6
"403598",6
"403602",4
"403618",4
"403624",6
"403630",10
"403649",4
"403655",6
"403661",5
"403670",4
"403686",4
"403692",4
"403706",4
"403708",6
"403709",3
"403710",6
"403711",5
"403712",8
"403713",8
"403714",5
"403715",4
"403716",6
"403717",4
"403721",3
"403728",1
"403737",1
"403743",4
"403752",5
"403768",7
"403774",5
"403780",5
"403799",4
"403800",3
"403817",6
"403819",4
"403820",3
"403821",3
"403822",4
"403823",4
"403824",3
"403825",6
"403826",4
"403827",2
"403828",6
"403829",4
"403830",2
"403831",7
"403832",3
"403833",3
"403834",4
"403835",1
"403836",3
"403837",4
"403838",7
"403839",3
"403840",6
"403841",5
"403842",9
"403843",5
"403844",13
"403845",6
"403846",12
"403847",6
"403848",8
"403849",5
"403851",6
"403852",11
"403853",14
"403854",5
"403855",8
"403856",4
"403857",6
"403858",7
"403859",3
"403860",11
"403861",7
"403862",6
"403863",7
"403864",6
"403865",5
"403866",9
"403867",11
"403869",14
"403871",2
"403875",6
"403879",5
"403887",3
"403893",3
"403913",7
"403922",4
"403938",4
"403944",1
"403950",7
"403969",4
"403981",4
"403990",7
"403992",7
"403993",9
"403994",6
"403995",4
"403996",4
"403997",8
"403998",8
"403999",9
"404001",3
"404010",4
"404026",5
"404032",5
"404041",3
"404057",2
"404063",2
"404072",4
"404088",2
"404094",6
"404108",3
"404114",3
"404120",4
"404139",5
"404145",5
"404151",2
"404160",5
"404176",8
"404202",10
"404227",8
"404233",16
"404243",3
"404259",3
"404265",4
"404271",3
"404296",5
"404309",12
"404316",6
"404322",6
"404331",4
"404347",5
"404353",8
"404362",5
"404378",5
"404393",4
"404404",4
"404429",5
"404435",6
"404441",5
"404460",6
"404466",3
"404472",6
"404481",5
"404497",9
"404501",3
"404517",6
"404523",9
"404548",5
"404554",4
"404563",7
"404579",6
"404585",4
"404591",9
"404611",5
"404630",9
"404636",5
"404642",7
"404667",5
"404673",4
"404682",2
"404698",3
"404702",3
"404718",3
"404724",4
"404733",4
"404755",3
"404761",3
"404780",4
"404786",4
"404792",3
"404806",4
"404812",9
"404821",7
"404837",4
"404843",3
"404852",3
"404868",3
"404874",3
"404883",3
"404899",5
"404903",4
"404919",4
"404925",3
"404931",5
"404950",5
"404956",6
"404962",3
"404971",3
"404987",4
"404993",3
"405007",4
"405022",4
"405038",3
"405044",3
"405053",4
"405075",4
"405081",4
"405101",4
"405102",6
"405120",4
"405126",5
"405132",4
"405141",6
"405157",7
"405163",4
"405172",6
"405188",5
"405194",5
"405208",4
"405214",5
"405223",4
"405239",5
"405245",5
"405251",1
"405270",5
"405282",4
"405291",5
"405302",3
"405311",6
"405327",3
"405333",5
"405358",4
"405364",5
"405373",4
"405389",6
"405395",6
"405409",4
"405415",4
"405421",5
"405446",4
"405452",5
"405461",4
"405477",4
"405483",3
"405492",6
"405503",7
"405512",3
"405528",5
"405534",4
"405543",4
"405559",3
"405565",6
"405571",2
"405590",5
"405596",4
"405610",3
"405616",5
"405622",5
"405631",5
"405647",3
"405653",3
"405662",1
"405678",4
"405684",4
"405693",9
"405704",6
"405713",8
"405729",4
"405735",4
"405741",4
"405760",5
"405766",3
"405772",6
"405781",5
"405797",8
"405801",3
"405817",5
"405823",6
"405832",4
"405848",4
"405854",8
"405863",6
"405879",7
"405885",4
"405891",9
"405905",4
"405911",4
"405930",3
"405936",4
"405942",5
"405951",4
"405967",5
"405973",5
"405982",5
"405998",3
"406002",5
"406018",6
"406024",7
"406033",5
"406049",5
"406055",8
"406061",5
"406080",4
"406086",5
"406092",4
"406106",4
"406112",6
"406121",4
"406137",6
"406143",4
"406152",3
"406168",6
"406174",6
"406183",4
"406199",4
"406203",4
"406219",4
"406225",4
"406231",5
"406250",4
"406256",2
"406262",3
"406271",7
"406282",4
"406287",5
"406293",10
"406307",6
"406313",4
"406322",4
"406338",4
"406344",5
"406353",4
"406369",3
"406375",6
"406381",5
"406401",3
"406402",5
"406420",4
"406426",4
"406432",6
"406441",3
"406457",4
"406463",3
"406472",6
"406488",9
"406494",5
"406508",12
"406514",7
"406523",8
"406539",7
"406545",5
"406551",4
"406570",5
"406576",4
"406591",6
"406602",6
"406611",5
"406627",4
"406633",4
"406642",4
"406658",6
"406664",4
"406673",4
"406689",6
"406695",7
"406709",6
"406715",7
"406721",4
"406740",6
"406746",4
"406752",9
"406761",5
"406777",5
"406783",6
"406792",5
"406803",5
"406812",5
"406828",6
"406834",7
"406843",3
"406859",5
"406865",4
"406871",7
"406890",5
"406896",11
"406910",9
"406916",8
"406922",7
"406931",9
"406932",5
"406933",5
"406934",9
"406935",9
"406936",6
"406937",5
"406947",17
"406953",9
"406962",4
"406978",6
"406984",8
"406993",7
"407004",4
"407013",4
"407029",5
"407035",5
"407041",5
"407060",4
"407066",4
"407072",5
"407081",7
"407097",4
"407101",7
"407117",7
"407123",5
"407132",4
"407148",4
"407154",5
"407163",4
"407179",5
"407185",6
"407191",4
"407205",4
"407211",4
"407230",5
"407236",4
"407242",7
"407251",6
"407267",6
"407273",9
"407282",7
"407298",5
"407302",5
"407318",3
"407324",4
"407333",8
"407349",5
"407355",4
"407361",5
"407380",5
"407386",4
"407392",4
"407406",3
"407412",4
"407421",2
"407437",4
"407443",1
"407452",4
"407468",5
"407474",3
"407483",4
"407499",5
"407503",5
"407519",4
"407525",6
"407531",4
"407550",4
"407556",4
"407562",4
"407571",5
"407587",5
"407593",6
"407607",4
"407613",6
"407622",5
"407638",4
"407644",5
"407653",5
"407669",8
"407675",10
"407681",5
"407701",8
"407702",6
"407720",7
"407726",6
"407732",7
"407741",9
"407757",7
"407763",11
"407772",7
"407788",13
"407794",5
"407808",4
"407814",4
"407823",4
"407839",7
"407845",4
"407851",4
"407870",5
"407876",5
"407882",4
"407891",5
"407902",2
"407911",3
"407927",1
"407933",8
"407942",3
"407958",7
"407964",5
"407973",3
"407989",5
"407995",8
"408009",5
"408015",5
"408021",3
"408040",5
"408046",3
"408052",5
"408061",5
"408077",5
"408083",5
"408092",3
"408103",6
"408112",7
"408128",7
"408134",5
"408143",5
"408159",5
"408165",5
"408171",6
"408190",8
"408196",4
"408210",4
"408216",5
"408222",4
"408231",5
"408247",3
"408253",9
"408262",5
"408278",7
"408284",6
"408293",3
"408304",3
"408313",3
"408329",3
"408335",3
"408341",4
"408360",3
"408366",3
"408372",4
"408381",3
"408397",3
"408401",3
"408417",3
"408423",5
"408432",4
"408448",8
"408454",4
"408463",3
"408479",3
"408485",4
"408491",3
"408511",8
"408530",3
"408536",8
"408542",4
"408551",4
"408567",4
"408573",7
"408582",6
"408598",7
"408602",5
"408618",6
"408624",3
"408625",8
"408626",9
"408627",6
"408633",13
"408649",5
"408655",3
"408661",6
"408680",4
"408686",5
"408692",4
"408706",6
"408712",3
"408720",12
"408721",3
"408722",3
"408723",4
"408724",3
"408725",2
"408726",2
"408727",4
"408728",3
"408730",2
"408731",2
"408732",2
"408733",2
"408734",3
"408735",2
"408736",17
"408737",5
"408738",3
"408742",10
"408743",3
"408744",3
"408745",3
"408746",3
"408747",3
"408748",3
"408749",5
"408750",3
"408751",14
"408753",4
"408754",3
"408755",3
"408756",3
"408757",4
"408758",3
"408759",5
"408760",1
"408762",3
"408763",5
"408764",5
"408765",7
"408766",3
"408767",9
"408768",3
"408769",4
"408770",4
"408772",5
"408773",12
"408774",4
"408775",3
"408776",3
"408777",3
"408778",3
"408779",5
"408780",3
"408782",5
"408783",3
"408784",2
"408785",3
"408786",5
"408787",2
"408788",1
"408789",2
"408790",1
"408792",5
"408793",4
"408794",3
"408795",4
"408796",3
"408797",4
"408798",5
"408799",6
"408800",3
"408802",15
"408803",4
"408804",5
"408805",4
"408806",3
"408807",3
"408808",3
"408809",6
"408810",5
"408812",5
"408813",5
"408814",3
"408815",4
"408816",3
"408817",3
"408818",14
"408819",6
"408820",3
"408822",5
"408823",4
"408824",6
"408825",4
"408826",4
"408827",3
"408828",3
"408829",5
"408830",15
"408831",4
"408833",5
"408834",3
"408835",5
"408836",5
"408837",3
"408838",3
"408839",9
"408840",5
"408842",8
"408843",8
"408844",6
"408845",6
"408846",3
"408847",5
"408848",6
"408849",14
"408850",4
"408852",3
"408853",2
"408854",2
"408855",7
"408856",2
"408857",2
"408858",1
"408859",3
"408860",3
"408861",11
"408863",5
"408864",4
"408865",4
"408866",5
"408867",4
"408868",4
"408869",6
"408870",5
"408871",3
"408873",3
"408874",3
"408875",4
"408876",3
"408877",3
"408878",3
"408879",6
"408880",4
"408882",9
"408883",7
"408884",4
"408885",9
"408886",12
"408887",4
"408888",4
"408889",8
"408890",5
"408892",8
"408893",3
"408894",3
"408895",4
"408896",3
"408897",2
"408898",2
"408899",4
"408900",3
"408902",6
"408903",4
"408904",4
"408905",4
"408906",7
"408907",4
"408908",3
"408909",7
"408910",4
"408913",3
"408922",6
"408938",5
"408944",6
"408953",4
"408969",2
"408975",3
"408981",4
"409001",13
"409002",6
"409020",5
"409026",8
"409032",4
"409041",3
"409057",5
"409063",3
"409072",8
"409088",7
"409094",5
"409108",5
"409114",5
"409123",3
"409139",7
"409145",5
"409151",4
"409155",6
"409157",6
"409159",7
"409160",2
"409161",2
"409162",4
"409163",4
"409164",2
"409165",2
"409166",5
"409167",3
"409169",8
"409170",2
"409171",3
"409172",2
"409173",2
"409174",2
"409175",9
"409176",2
"409177",5
"409178",4
"409180",3
"409181",13
"409182",2
"409183",6
"409184",6
"409185",3
"409186",3
"409187",4
"409188",3
"409190",13
"409191",6
"409192",8
"409193",5
"409194",8
"409195",3
"409196",3
"409197",6
"409198",4
"409200",3
"409201",10
"409202",3
"409203",3
"409204",5
"409205",3
"409206",2
"409207",4
"409208",3
"409210",6
"409211",3
"409212",3
"409213",2
"409214",4
"409215",3
"409216",3
"409217",5
"409218",3
"409220",3
"409221",3
"409222",3
"409223",3
"409224",3
"409225",3
"409226",9
"409227",5
"409228",3
"409233",5
"409241",8
"409257",5
"409263",16
"409272",16
"409288",14
"409294",13
"409308",6
"409339",6
"409351",5
"409360",4
"409376",4
"409382",4
"409391",6
"409402",5
"409411",6
"409442",7
"409489",4
"409509",5
"409515",4
"409546",5
"409552",10
"409562",7
"409577",6
"409583",5
"409592",7
"409603",5
"409612",5
"409634",5
"409665",8
"409671",4
"409696",5
"409722",8
"409731",5
"409778",6
"409784",6
"409790",9
"409810",5
"409825",5
"409835",5
"409841",6
"409850",4
"409866",5
"409872",6
"409881",8
"409897",6
"409901",7
"409917",5
"409948",7
"409960",5
"409979",4
"409985",7
"409999",1
"410000",5
"410016",9
"410022",4
"410048",6
"410053",4
"410078",7
"410084",5
"410129",6
"410135",8
"410141",6
"410150",7
"410166",9
"410172",6
"410181",12
"410232",6
"410248",5
"410254",4
"410260",6
"410291",4
"410305",7
"410311",6
"410342",4
"410351",5
"410367",6
"410373",3
"410382",4
"410398",6
"410402",8
"410418",5
"410424",3
"410430",6
"410449",7
"410455",6
"410461",7
"410470",6
"410486",6
"410492",6
"410506",7
"410512",5
"410521",5
"410537",5
"410543",5
"410552",5
"410568",4
"410574",5
"410580",6
"410599",7
"410600",4
"410619",5
"410625",6
"410631",5
"410640",16
"410687",4
"410693",4
"410707",5
"410713",5
"410722",8
"410738",3
"410750",8
"410769",4
"410775",4
"410790",4
"410810",7
"410826",6
"410832",4
"410857",4
"410863",3
"410872",3
"410888",4
"410894",4
"410908",3
"410914",4
"410920",5
"410939",4
"410945",4
"410951",3
"410960",6
"410976",3
"410982",3
"411002",5
"411011",7
"411033",6
"411042",6
"411058",5
"411121",6
"411130",4
"411146",5
"411152",4
"411161",7
"411177",6
"411183",4
"411203",4
"411212",4
"411228",4
"411234",5
"411240",3
"411259",4
"411265",3
"411271",9
"411280",6
"411296",6
"411300",4
"411316",3
"411322",8
"411331",2
"411347",4
"411362",6
"411378",3
"411384",4
"411390",4
"411404",6
"411410",5
"411429",5
"411441",3
"411450",4
"411466",2
"411472",4
"411497",3
"411501",3
"411502",6
"411548",8
"411554",5
"411560",3
"411579",4
"411585",3
"411591",4
"411611",3
"411620",5
"411636",4
"411642",7
"411651",4
"411667",4
"411702",2
"411718",4
"411724",4
"411730",4
"411749",3
"411755",6
"411786",4
"411792",11
"411806",7
"411812",4
"411821",5
"411837",5
"411843",5
"411852",16
"411868",7
"411874",4
"411880",7
"411925",7
"411956",11
"411962",9
"411971",8
"411987",5
"411993",5
"412005",9
"412007",6
"412013",7
"412022",6
"412050",4
"412069",11
"412075",9
"412081",11
"412101",9
"412110",15
"412126",6
"412141",7
"412157",12
"412163",10
"412172",5
"412188",5
"412194",5
"412208",5
"412214",5
"412220",4
"412239",4
"412245",5
"412251",5
"412260",5
"412276",6
"412282",6
"412291",3
"412302",5
"412311",5
"412327",5
"412333",5
"412358",5
"412364",4
"412370",5
"412389",8
"412409",5
"412415",5
"412421",5
"412477",7
"412483",6
"412492",5
"412503",6
"412512",7
"412528",10
"412534",18
"412536",6
"412540",10
"412559",9
"412565",9
"412571",11
"412580",13
"412590",11
"412616",8
"412617",8
"412618",10
"412620",9
"412622",7
"412631",15
"412647",7
"412653",6
"412662",6
"412678",6
"412684",8
"412690",6
"412704",6
"412710",9
"412729",7
"412735",9
"412772",8
"412781",13
"412797",9
"412801",7
"412817",6
"412823",8
"412832",7
"412848",7
"412854",7
"412860",9
"412879",10
"412885",9
"412891",11
"412905",6
"412911",8
"412920",8
"412942",7
"412951",7
"412967",6
"412973",7
"412982",7
"412998",10
"413002",10
"413018",10
"413024",8
"413030",9
"413049",7
"413055",9
"413061",9
"413070",6
"413080",8
"413086",7
"413092",8
"413106",9
"413112",12
"413121",9
"413137",11
"413143",9
"413152",8
"413168",13
"413180",6
"413199",7
"413200",9
"413219",8
"413225",11
"413231",12
"413240",8
"413256",7
"413262",9
"413271",11
"413287",10
"413293",9
"413307",11
"413313",8
"413322",9
"413338",6
"413344",8
"413350",7
"413369",7
"413375",8
"413381",6
"413390",8
"413410",7
"413417",12
"413422",6
"413426",10
"413428",8
"413432",7
"413439",9
"413441",8
"413457",7
"413463",6
"413472",7
"413488",5
"413494",9
"413508",11
"413514",9
"413520",11
"413545",6
"413576",7
"413582",8
"413591",6
"413602",8
"413611",7
"413627",8
"413633",8
"413642",9
"413658",11
"413664",9
"413670",6
"413689",6
"413695",8
"413709",8
"413715",9
"413721",7
"413730",9
"413746",8
"413752",7
"413761",8
"413783",10
"413792",7
"413803",5
"413812",9
"413828",4
"413834",4
"413840",8
"413859",5
"413865",5
"413871",7
"413880",6
"413900",5
"413916",5
"413922",9
"413931",6
"413947",6
"413953",4
"413962",5
"413978",5
"413984",10
"413990",5
"414004",10
"414010",6
"414029",6
"414035",4
"414041",6
"414050",7
"414066",3
"414072",7
"414081",8
"414097",6
"414101",3
"414117",4
"414123",5
"414132",5
"414148",6
"414154",6
"414160",7
"414179",3
"414185",5
"414191",6
"414205",4
"414211",6
"414220",6
"414236",5
"414242",7
"414251",13
"414267",4
"414273",11
"414282",4
"414298",6
"414302",10
"414318",11
"414324",6
"414330",8
"414349",8
"414355",14
"414361",22
"414370",8
"414386",3
"414392",4
"414406",9
"414412",4
"414421",10
"414437",9
"414443",11
"414452",5
"414468",8
"414474",6
"414480",5
"414499",8
"414500",3
"414519",6
"414525",6
"414531",4
"414540",6
"414556",8
"414559",6
"414562",3
"414563",6
"414566",7
"414568",3
"414571",3
"414572",7
"414574",7
"414576",6
"414578",10
"414580",7
"414582",8
"414583",6
"414587",4
"414593",3
"414607",2
"414613",2
"414622",3
"414638",4
"414644",4
"414650",4
"414669",3
"414681",3
"414690",3
"414701",6
"414710",7
"414726",10
"415366",6
"415381",6
"415382",6
"415383",2
"415397",8
"415401",6
"415423",11
"415432",11
"415448",8
"415454",7
"415460",7
"415479",8
"415485",9
"415491",9
"415505",6
"415511",8
"415520",11
"415536",6
"415542",11
"415551",10
"415567",4
"415573",13
"415582",9
"415598",8
"415602",12
"415618",7
"415624",10
"415630",11
"415649",10
"415655",5
"415661",8
"415670",9
"415686",8
"415706",8
"415712",7
"415721",8
"415737",4
"415743",6
"415752",8
"415768",11
"415774",5
"415780",6
"415799",6
"415800",7
"415819",7
"415825",6
"415831",7
"415840",6
"415856",5
"415862",5
"415871",5
"415887",6
"415893",7
"415907",5
"415913",10
"415922",5
"415938",4
"415944",11
"415950",7
"415969",6
"415975",7
"415981",7
"415990",7
"416001",8
"416002",9
"416003",7
"416004",8
"416005",9
"416006",9
"416010",8
"416026",8
"416032",6
"416041",6
"416057",7
"416063",5
"416072",6
"416088",8
"416094",5
"416108",8
"416114",7
"416120",7
"416139",6
"416145",7
"416151",11
"416161",7
"416211",3
"416233",9
"416242",9
"416258",10
"416289",8
"416292",6
"416293",4
"416294",6
"416295",7
"416296",6
"416297",3
"416298",2
"416299",5
"416309",6
"416310",9
"416311",4
"416313",3
"416315",4
"416317",4
"416318",7
"416319",4
"416320",3
"416321",4
"416322",3
"416323",5
"416324",8
"416325",4
"416326",4
"416327",3
"416329",4
"416330",5
"416331",3
"416332",10
"416333",6
