"KDSATKER","MAX(REVISION_NUMBER)"
"018801",6
"018818",7
"018822",5
"018839",9
"018843",8
"018850",6
"018864",10
"018871",6
"018885",8
"018892",6
"018907",6
"018911",6
"018928",7
"018932",6
"018949",6
"018953",7
"018960",10
"018974",7
"018981",6
"018995",7
"019000",7
"019013",3
"019014",6
"019015",3
"019016",2
"019020",3
"019021",6
"019022",5
"019023",4
"019024",5
"019031",3
"019035",6
"019041",5
"019042",6
"019043",1
"019044",2
"019056",8
"019057",7
"019060",6
"019062",2
"019069",2
"019070",2
"019071",6
"019077",5
"019080",1
"019081",5
"019098",6
"019103",8
"019110",6
"019124",6
"019131",6
"019145",6
"019152",6
"019166",7
"019170",7
"019187",6
"019191",6
"019209",9
"019213",8
"019220",9
"019234",9
"019241",9
"019255",9
"019262",9
"019276",7
"019280",10
"019297",7
"019302",8
"019319",6
"019323",6
"019330",7
"019344",5
"019351",7
"019365",7
"019372",7
"019386",7
"019390",5
"019408",7
"019412",7
"019429",8
"019433",7
"019440",6
"019454",7
"019461",6
"019475",7
"019482",5
"019496",6
"019501",5
"019518",6
"019522",7
"019539",7
"019543",7
"019550",7
"019564",7
"019571",7
"019585",7
"019592",7
"019607",7
"019611",7
"019628",7
"019632",6
"019649",9
"019653",8
"019660",14
"019674",7
"019681",8
"019695",7
"019700",9
"019717",11
"019721",9
"019738",8
"019742",7
"019759",10
"019763",8
"019770",8
"019784",9
"019791",8
"019806",8
"019810",7
"019827",8
"019831",9
"019848",8
"019852",22
"019869",8
"019873",10
"019880",12
"019894",8
"019902",8
"019916",7
"019920",9
"019937",9
"019941",8
"019958",6
"019962",6
"019979",6
"019983",7
"019990",7
"020016",2
"020037",6
"020066",4
"020072",5
"020084",3
"020100",8
"020104",5
"020105",8
"020505",7
"020558",8
"020561",4
"020562",6
"020759",1
"020761",5
"021137",1
"021140",7
"021212",4
"021215",3
"021302",3
"021403",2
"021764",1
"022207",8
"022209",5
"022211",7
"025137",5
"025226",2
"025227",7
"025447",4
"025734",7
"025735",6
"025736",6
"025842",3
"026118",4
"026221",4
"027050",7
"027114",6
"027177",7
"027203",13
"027210",18
"027486",8
"027753",10
"028449",6
"028830",6
"029002",1
"029010",4
"029013",2
"029014",2
"029020",3
"029024",4
"029027",5
"029029",5
"029036",3
"029071",1
"029088",5
"029089",6
"029090",3
"029091",5
"029092",3
"029098",3
"029099",1
"029101",3
"029102",3
"029134",3
"029159",5
"029160",3
"029161",4
"029162",9
"029166",5
"029168",7
"029172",5
"029175",6
"029351",4
"029447",1
"029515",4
"030012",4
"030018",9
"030044",3
"030073",2
"030076",4
"030100",5
"030155",10
"030156",10
"030540",4
"030649",2
"030704",3
"030723",2
"030803",3
"031107",4
"031441",1
"031660",1
"031665",7
"031707",3
"031750",1
"031961",1
"031962",5
"031963",3
"032057",5
"032506",5
"035157",7
"035158",5
"035159",6
"035160",6
"035166",2
"035170",1
"035172",2
"035174",5
"035176",6
"035178",6
"035180",7
"035502",7
"035519",4
"035636",8
"035659",9
"035661",1
"035665",4
"039002",1
"039010",3
"039011",4
"039012",6
"039014",6
"039015",4
"039016",4
"039017",2
"039018",3
"039019",1
"039028",3
"039032",1
"039062",1
"039091",2
"039092",5
"039093",4
"039094",1
"039098",6
"039151",6
"039152",4
"039153",5
"039154",12
"039158",6
"039160",7
"039163",3
"039428",5
"039448",2
"039485",2
"039495",1
"039664",2
"039667",4
"039729",7
"039733",4
"040005",7
"040008",5
"040060",3
"040063",4
"040069",5
"040082",2
"040093",6
"040100",9
"040173",4
"040256",5
"045165",4
"049001",3
"049009",5
"049012",3
"049013",3
"049019",3
"049025",4
"049028",5
"049029",2
"049031",3
"049032",5
"049033",5
"049034",3
"049035",3
"049055",4
"049057",3
"049058",7
"049059",3
"049061",4
"049062",7
"049087",4
"049088",5
"049089",6
"049090",7
"049094",5
"049102",1
"049131",3
"049136",4
"050005",2
"050009",3
"050016",3
"050018",2
"050040",6
"050064",3
"050069",4
"050100",7
"050149",1
"050256",2
"050302",7
"050457",2
"050715",3
"050906",3
"050914",1
"051009",2
"051034",1
"051102",8
"051159",9
"051202",4
"051240",4
"051447",5
"051569",2
"051710",2
"052112",3
"052152",1
"052809",3
"052853",3
"052857",8
"052858",6
"055137",3
"055235",3
"055360",2
"055925",5
"055926",3
"059000",5
"059004",4
"059021",2
"059022",2
"059025",3
"059029",5
"059030",2
"059031",2
"059032",1
"059033",3
"059034",1
"059056",3
"059106",6
"059109",4
"059110",2
"059114",4
"059178",5
"059179",5
"059180",6
"059181",11
"059185",7
"059186",6
"059187",6
"059190",2
"059450",7
"059490",2
"059496",1
"059663",3
"059698",12
"060003",3
"060004",1
"060012",2
"060019",6
"060032",4
"060038",3
"060053",4
"060058",3
"060100",6
"060102",6
"060407",4
"060534",4
"060540",6
"060728",4
"061201",5
"061301",7
"061331",5
"061818",6
"061820",5
"065106",6
"065132",6
"065135",14
"065136",5
"065137",5
"065301",5
"065501",11
"069011",2
"069012",1
"069016",5
"069017",2
"069020",2
"069021",3
"069022",2
"069023",3
"069024",2
"069038",6
"069074",3
"069075",5
"069077",4
"069078",1
"069084",1
"069133",4
"069135",5
"069139",4
"069140",5
"069145",3
"069263",3
"069264",3
"069270",4
"069392",5
"069393",4
"070028",7
"070044",3
"070051",4
"070055",1
"070060",1
"070074",2
"070258",4
"070331",1
"070545",4
"070639",5
"070932",3
"072113",3
"072117",4
"072215",2
"072309",3
"072410",3
"072412",4
"072413",1
"072414",2
"072508",5
"072510",4
"072511",3
"072512",3
"072513",4
"072515",9
"072613",1
"075345",5
"075540",4
"079001",1
"079006",3
"079009",1
"079010",2
"079016",1
"079019",3
"079025",6
"079027",4
"079031",3
"079032",2
"079033",1
"079034",4
"079035",1
"079071",1
"079074",2
"079076",5
"079077",3
"079078",2
"079124",6
"079125",7
"079126",3
"079127",6
"079131",5
"079132",6
"079133",5
"079136",2
"079330",1
"079333",1
"080007",3
"080010",6
"080018",3
"080019",2
"080022",2
"080028",2
"080072",1
"080133",1
"080458",1
"080561",2
"081240",5
"085568",5
"089000",2
"089003",2
"089004",1
"089005",3
"089006",1
"089009",6
"089011",5
"089022",6
"089025",3
"089026",4
"089032",3
"089076",3
"089079",3
"089081",2
"089083",3
"089106",3
"089130",5
"089131",3
"089132",5
"089133",8
"089137",5
"089138",4
"089143",2
"089258",2
"089264",3
"089271",3
"089378",8
"090009",1
"090017",4
"090018",6
"090020",8
"090027",1
"090051",3
"090099",7
"090105",4
"090261",9
"090602",1
"090909",3
"091236",7
"091314",7
"091317",13
"091318",4
"091319",5
"091320",3
"091323",3
"091324",9
"091328",8
"095131",11
"095154",9
"097102",15
"097450",7
"097467",5
"097471",1
"097488",3
"097492",3
"097500",6
"097514",4
"097521",3
"097535",2
"097542",3
"097556",8
"097560",5
"097577",3
"097598",2
"097603",4
"097610",3
"097624",5
"097631",7
"097645",5
"097652",6
"097666",5
"097670",3
"097687",6
"097691",4
"097709",4
"097713",6
"097720",2
"097734",4
"097741",2
"097755",4
"097762",5
"097776",4
"097780",5
"097797",4
"097802",2
"097819",2
"097823",3
"097830",4
"097844",3
"097851",3
"097865",5
"097872",3
"097886",4
"097890",4
"097908",4
