"kdsatker","kddept","kdmak","thang","volume"
"000017","001","425122","2023",1.000
"000017","001","425131","2023",1.000
"001012","002","425129","2023",530000000.000
"001012","002","425131","2023",894088874.000
"003019","004","425129","2023",1.000
"003019","004","425131","2023",1.000
"003019","004","425151","2023",6.000
"003019","004","425413","2023",1.000
"003019","004","425429","2023",192.000
"003019","004","425691","2023",1.000
"003030","004","425131","2023",1.000
"003044","004","425131","2023",1.000
"003051","004","425122","2023",1.000
"003051","004","425131","2023",1.000
"004028","005","425233","2023",97.000
"004028","005","425239","2023",9309.000
"005016","006","425131","2023",1.000
"005020","006","425122","2023",10000000.000
"005020","006","425129","2023",5000000.000
"005020","006","425131","2023",75000000.000
"005020","006","425139","2023",5000000.000
"005020","006","425999","2023",5000000.000
"005037","006","425122","2023",5000000.000
"005037","006","425129","2023",5000000.000
"005037","006","425131","2023",30000000.000
"005037","006","425139","2023",5000000.000
"005037","006","425233","2023",500000000.000
"005037","006","425236","2023",250000000000.000
"005037","006","425237","2023",15000000000.000
"005037","006","425238","2023",10000000000.000
"005037","006","425239","2023",2950000000.000
"005037","006","425241","2023",12000000000.000
"005037","006","425242","2023",1500000000.000
"005037","006","425243","2023",40600000000.000
"005037","006","425244","2023",200000000.000
"005037","006","425245","2023",25000000000.000
"005037","006","425246","2023",5800000000.000
"005037","006","425247","2023",100000000.000
"005037","006","425248","2023",3000000000.000
"005037","006","425249","2023",1500000000.000
"005037","006","425999","2023",10000000.000
"005041","006","425122","2023",2000000.000
"005041","006","425129","2023",2000000.000
"005041","006","425131","2023",100000000.000
"005041","006","425139","2023",5000000.000
"005041","006","425233","2023",500000000.000
"005041","006","425236","2023",1500000000.000
"005041","006","425237","2023",12500000000.000
"005041","006","425238","2023",3000000000.000
"005041","006","425239","2023",150000000.000
"005041","006","425241","2023",1500000000.000
"005041","006","425242","2023",1000000000.000
"005041","006","425243","2023",10000000000.000
"005041","006","425244","2023",200000000.000
"005041","006","425245","2023",500000000.000
"005041","006","425246","2023",500000000.000
"005041","006","425247","2023",100000000.000
"005041","006","425248","2023",5000000.000
"005041","006","425249","2023",2500000000.000
"005041","006","425791","2023",2000000.000
"005041","006","425792","2023",2000000.000
"005041","006","425811","2023",1000000.000
