No;TAHUN;KDDEPT;NMDEPT;NMSATKER;KDSATKER;KATEGORI;TEMUAN;NILAI
20;2022;10;010  KEMENTERIAN DALAM NEGERI;IPDN Jatinangor;403200;TERLAMBAT;PNBP Tidak Disetorkan pada Hari yang Sama: Pendapatan Pendidikan Mahasiswa Pascasarjana;0
21;2022;10;010  KEMENTERIAN DALAM NEGERI;Balai Pemdes Yogyakarta;28449;TERLAMBAT;PNBP Tidak Disetorkan pada Hari yang Sama: Balai Pemdes Yogyakarta;0
22;2022;13;013  KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA RI;Ditjen PAS;409263;TERLAMBAT;Empat paket pekerjaan pada Direktorat Jenderal (Ditjen) Pemasyarakatan (PAS);1453198319
23;2022;13;013  KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA RI;Ditjen KI;97102;TERLAMBAT;Satu paket pekerjaan pada Ditjen Kekayaan Intelektual (KI) sebesar;15300000
24;2022;13;013  KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA RI;Ditjen Imigrasi;409272;TERLAMBAT;Keterlambatan Pekerjaan Pengadaan pada Dua paket pekerjaan pada Ditjen Imigrasi;287422000
25;2022;13;013  KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA RI;Rutan Kelas IIB Dumai;408454;TERLAMBAT;Keterlambatan Pekerjaan Pengadaan pada Rutan Kelas IIB Dumai;34793142
26;2022;13;013  KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA RI;"Kantor Wilayah (Kanwil) Kemenkumham
Sumatera Utara ";408763;TERLAMBAT;Keterlambatan Pekerjaan Pengadaan pada Dua paket pekerjaan;237537533
27;2022;13;013  KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA RI;Kanwil Kemenkumham Riau;408803;TERLAMBAT;Dua paket pekerjaan di lingkungan Kanwil Kemenkumham Riau;2386646168
28;2022;60;060  KEPOLISIAN NEGARA REPUBLIK INDONESIA;Polda Sulawesi Utara;679813;TERLAMBAT;Adanya ketidakdisiplinan dalam pengelolaan PNBP, dimana terdapat keterlambatan penyetoran PNBP atas jasa pamobvit ke Kas Negara oleh masing-masing satker;4096600000
29;2022;60;060  KEPOLISIAN NEGARA REPUBLIK INDONESIA;Polda Metro Jaya;650971;TERLAMBAT;Adanya ketidakdisiplinan dalam pengelolaan PNBP, dimana terdapat keterlambatan penyetoran PNBP atas jasa pamobvit ke Kas Negara oleh masing-masing satker;1721973584
30;2022;60;060  KEPOLISIAN NEGARA REPUBLIK INDONESIA;Polresta Banda Aceh ;640122;TERLAMBAT;Adanya ketidakdisiplinan dalam pengelolaan PNBP, dimana terdapat keterlambatan penyetoran PNBP atas jasa pamobvit ke Kas Negara oleh masing-masing satker;3015000000
31;2022;60;060  KEPOLISIAN NEGARA REPUBLIK INDONESIA;Polda Sulawesi Tengah;679834;TERLAMBAT;"Ditintelkam Polda Sulawesi Tengah maupun Satintelkam Polres Morowali, diketahui bahwa penyetoran PNBP dari penerbitan SKCK dilaksanakan sebulan sekali. Dimana
operator SKCK akan menerima serta menyimpan dana PNBP terlebih dahulu baik yang diterima dari Polsek jajaran maupun yang diterima dari pelayanan di Polres, untuk kemudian disetor kepada Bendahara Satuan (Bensat) Polres Morowali tiap akhir bulan berjalan.";297570000
32;2022;33;033  KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;BBPJN Jawa Tengah-D.I. Yogyakarta;35170;TERLAMBAT;Perusahaan pemanfaat penggunaan bagian-bagian jalan nasional terlambat menyetorkan biaya sewa ke Kas Negara sebesar Rp1.416.549.000;1416549000
33;2022;33;033  KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;Biro PBMN dan Biro Umum Sekretariat Jenderal;498488;TERLAMBAT;Keterlambatan Penyetoran PNBP pada Wisma Werdhapura dan Wisma Bima I dan II Sebesar Rp878.050.000,00;878050000
34;2022;33;033  KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;Politeknik Pekerjaan Umum;631187;TERLAMBAT;Uang Kuliah Tunggal (UKT) Mahasiswa Belum Diterima Sebesar Rp118.500.000,00;118500000
35;2022;32;032  KEMENTERIAN KELAUTAN DAN PERIKANAN;Sekretaris Ditjen PRL;622145;TERLAMBAT;"Mitra Kerja Sama Pemanfaatan BMN di Pulau Nipa Kota Batam Terlambat
Membayar Kontribusi Tetap Tahun 2022 ";2060100229
36;2022;5;005  MAHKAMAH AGUNG;MS Aceh;401582;TERLAMBAT;Penatausahaan PNBP dari Sewa Rumah Dinas Belum Tertib;2500000
37;2022;5;005  MAHKAMAH AGUNG;PN Jakarta Pusat;99063;TERLAMBAT;Belum diterimanya PNBP ;32500000
38;2022;5;005  MAHKAMAH AGUNG;PN Malang;99152;TERLAMBAT;"Sewa Payment Point BTN dan sewa kantin pada PN Malang akibat nilai sewa
yang tidak sesuai SK KPKNL sebesar Rp22.864.800 (Rp6.218.400 +
Rp16.646.400)";22864800
39;2022;5;005  MAHKAMAH AGUNG;PN Jakarta Pusat;99063;TERLAMBAT;"Sewa PT BTN pada PN Jakarta Pusat untuk jangka waktu sewa yang tidak
sesuai SK Persetujuan Sewa sebesar Rp101.083.140 (Rp50.541.570/tahun x 2
tahun);";101083140
;2022;5;005  MAHKAMAH AGUNG;PN Jakarta Pusat;99063;TERLAMBAT;"Pemanfaatan BMN pada PN Malang dan PA Jakarta Pusat yang tidak
menggunakan mekanisme sewa";0
40;2022;5;005  MAHKAMAH AGUNG;PN Malang;99152;TERLAMBAT;"Pemanfaatan BMN pada PN Malang dan PA Jakarta Pusat yang tidak
menggunakan mekanisme sewa";0
41;2022;25;025  KEMENTERIAN AGAMA;Sekolah Tinggi Agama Hindu Negeri (STAHN) Mpu Kuturan Singaraja;418477;TERLAMBAT;;143182501
42;2022;5;005  MAHKAMAH AGUNG;Mahkamah Syariah (MS) Aceh;401582;TERLAMBAT;Nilai sewa kantin Maqshaf Syar’I Tahun 2022 dan 2023 sebesar 2.500.000/tahun belum disetorkan.;5000000
43;2022;19;019  KEMENTERIAN PERINDUSTRIAN;SMK-SMTI Makassar;579336;KURANG PUNGUT;"Kesalahan Penerbitan Kode Billing atas Pungutan Penerimaan
dari Sumbangan Pembinaan Pendidikan pada SMK-SMTI Makassar";549999
44;2022;19;019  KEMENTERIAN PERINDUSTRIAN;ATI Makassar;579335;KURANG PUNGUT;Kurang pungut PNBP Pasca Semester VI pada Politeknik ATI Makassar;23400000
45;2022;25;025  KEMENTERIAN AGAMA;UIN Sumatera Utara;424007;KURANG PUNGUT;"pendapatan yang belum diterima pada rekening kas penerima BLU sebesar Rp55.710.000,00
yang berasal dari kerja sama antara UIN Sumatera Utara dan Kopertais UIN
Sumatera Utara.";55710000
46;2022;25;025  KEMENTERIAN AGAMA;Kantor Kementerian Agama Kota Jakarta Barat;416362;KURANG PUNGUT;sewa oleh Bank BJB Syariah belum diterima sesuai perjanjian;108000000
47;2022;25;025  KEMENTERIAN AGAMA;UIN Raden Fatah Palembang;424208;KURANG PUNGUT;UIN Raden Fatah Palembang belum mengenakan denda keterlambatan sebesar Rp15.519.825,00 kepada CV ZF;15519825
48;2022;25;025  KEMENTERIAN AGAMA;UIN Sultan Syarif Kasim Riau;424157;KURANG PUNGUT;"UIN Suska Riau telah mengajukan tagihan
biaya sewa pada tanggal 16 Februari 2023 kepada PT Telkomsel sebesar
Rp400.000.000,00. Sampai dengan pemeriksaan lapangan BPK berakhir, PT
Telkomsel belum membayar tagihan tersebut";400000000
49;2022;25;025  KEMENTERIAN AGAMA;UIN Raden Intan Lampung;424260;KURANG PUNGUT;"terdapat mahasiswa baru angkatan 2022
penerima bantuan Kartu Indonesia Pintar Kuliah (KIP Kuliah) membayar UKT
kurang dari nilai yang ditetapkan sebesar Rp154.450.000,00 ";154450000
50;2022;25;025  KEMENTERIAN AGAMA;UIN Raden Fatah Palembang;424208;KURANG PUNGUT;masih terdapat kekurangan penerimaan UKT sebesar Rp568.099.750,00 atas selisih UKT awal dengan UKT bantuan pendidikan ;568099750
51;2022;25;025  KEMENTERIAN AGAMA;UIN Imam Bonjol Padang;424050;KURANG PUNGUT;"terdapat UKT mahasiswa pengganti yang belum disesuaikan dengan besaran UKT
bantuan pendidikan";64990000
