No;TAHUN;KDDEPT;NMDEPT;NMSATKER;KDSATKER;KATEGORI;TEMUAN;NILAI
73;2022;22;022  KEMENTERIAN PERHUBUNGAN;Direktorat Bandar Udara (DBU) Ditjen Perhubungan Udara ;288042;TIDAK DIPUNGUT;"Perjanjian Konsesi antara Ditjen Perhubungan Udara dengan PT Angkasa Pura (AP) I dan PT AP II Belum Dapat Disepakati serta Terdapat Denda Keterlambatan Pembayaran Konsesi Jasa Kebandarudaraan yang Belum Dikenakan.
Kekurangan perhitungan denda keterlambatan pembayaran pokok konsesi tahun 2017 sebesar Rp112.319.478.191 dalam Laporan Keuangan Tahun 2022 yang terdiri dari: 
1) PT AP I sebesar Rp52.096.095.011; dan
2) PT AP II sebesar Rp60.223.383.180. 
b. Potensi hilangnya PNBP konsesi jasa kebandarudaraan tahun 2018 s.d. 2022.
";1,12319E+11
74;2022;60;060  KEPOLISIAN NEGARA REPUBLIK INDONESIA;Polda Papua Barat;473018;TIDAK DIPUNGUT;Penerbitan STCK oleh Ditlantas Polda Papua Barat Tahun 2022;28125000
75;2022;60;060  KEPOLISIAN NEGARA REPUBLIK INDONESIA;Polda Papua Barat;473018;TIDAK DIPUNGUT;Penerbitan SKUKP oleh Satlantas Polresta Manokwari;65700000
76;2022;78;078  PUSAT PELAPORAN DAN ANALISIS TRANSAKSI KEUANGAN (PPATK);"Deputi Bidang
Pelaporan dan Pengawasan Kepatuhan ";453374;TIDAK DIPUNGUT;"Pengenaan Sanksi Administratif atas Pelanggaran Kewajiban Pelaporan dari
Pihak Pelapor Belum Sepenuhnya Diterapkan oleh PPATK, sehingga PPATK kehilangan kesempatan untuk memperoleh PNBP yang berasal dari denda
administratifpelanggaran kewajiban pelaporan dari Pihak Pelapor";0
77;2022;32;032  KEMENTERIAN KELAUTAN DAN PERIKANAN;Ditjen PDSPKP ;622131;TIDAK DIPUNGUT;"PNBP atas Sewa BMN oleh Ditjen PDSPKP kepada PT PI (Persero) tidak
sesuai ketentuan dan belum dibayar senilai Rp740.348.678,00";740348678
78;2022;32;032  KEMENTERIAN KELAUTAN DAN PERIKANAN;PPS Kendari;537695;TIDAK DIPUNGUT;"PNBP Penggunaan Sarana Prasarana pada PPS Kendari dan denda
keterlambatan belum dibayar senilai ";389665404
79;2022;33;033  KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;Biro Umum Sekretariat Jenderal;898004;TIDAK DIPUNGUT;"a. Pemanfaatan Ruangan oleh Dharma Wanita Persatuan Kementerian PUPR Belum Dilengkapi dengan Keputusan Kepala Biro Umum dan Perjanjian SewaMenyewa
b. Pemanfaatan Ruang untuk Penyewa-Kegiatan Sosial yang Belum Dikenakan Sewa";0
80;2022;33;033  KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;Direktorat Kelembagaan dan Sumber Daya Konstruksi ;279856;TIDAK DIPUNGUT;Dua Sertifikat Standar KP BUJKA yang Terbit Tanpa Pembayaran PNBP ehingga, terdapat potensi kekurangan penerimaan atas empat sertifikat standar yang terbit tanpa dilakukan pembayaran PNBP sebesar USD40,000.00 (4 x USD10,000.00);0
81;;118;118  BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS SABANG;;683499;TIDAK DIPUNGUT;Potensi penerimaan PNBP yang belum dipungut oleh BPKS sebesar Rp1.326.139.950,00 terdiri atas Jasa Pelayanan Pelabuhan Balohan Sabang sebesar Rp1.212.727.950,00, sewa ruang loket tiket sebesar Rp55.536.000,00 dan penempatan mesin anjungan tunai mandiri sebesar Rp57.876.000,00;1326139950
82;2022;25;025  KEMENTERIAN AGAMA;UIN Ar-Raniry Banda Aceh;423925;DIGUNAKAN LANGSUNG;"penggunaan langsung pendapatan
sewa gedung sport center ";97952424
