"KDSATKER","KDDEPT","KDMAK","JML_BILLING","JML_LAYANAN","REAL_VOLUME"
"890608","004","425911",1,1,0
"890614","004","425129",1,1,1
"890639","004","425131",26,1,35
"890645","004","425129",1,1,86500000
"890645","004","425911",3,1,1
"890660","004","425129",1,1,1
"890660","004","425131",1,1,3
"890660","004","425911",1,1,1
"890676","004","425811",1,1,1
"890682","004","425811",1,1,0
"890682","004","425911",1,1,0
"004011","005","425931",5,1,0
"004028","005","425233",5,1,42
"004028","005","425239",241,11,8669
"004028","005","425911",9,1,6
"004028","005","425912",1,1,1
"097450","005","425131",83,1,2005297
"097488","005","425131",1,1,1
"097488","005","425911",1,1,9
"097492","005","425131",2,1,3
"097521","005","425122",2,1,0
"097521","005","425129",1,1,0
"097521","005","425131",1,1,12
"097535","005","425131",1,1,1
"097542","005","425122",2,1,0
"097542","005","425131",1,1,1
"097556","005","425131",1,1,0
"097556","005","425912",1,1,0
"097560","005","425131",1,1,1
"097577","005","425911",2,1,12214450
"097598","005","425911",1,1,0
"097603","005","425122",1,1,0
"097603","005","425131",1,1,1
"097624","005","425131",2,1,2
"097670","005","425131",1,1,1
"097691","005","425122",1,1,1
"097709","005","425129",1,1,315000
"097713","005","425131",1,1,1
"097720","005","425122",1,1,36099999
"097720","005","425131",1,1,1
"097720","005","425912",3,1,3
"097741","005","425131",1,1,1
"097762","005","425122",1,1,6669999
"097762","005","425911",1,1,1
"097776","005","425122",2,1,0
"097776","005","425131",1,1,1
"097780","005","425121",1,1,0
"097797","005","425131",2,1,2
"097802","005","425131",1,1,1
"097830","005","425131",1,1,1
"097851","005","425129",1,1,1551000
"097865","005","425129",1,1,1717000
"097865","005","425131",1,1,1
"097890","005","425131",2,1,2
"097912","005","425131",3,1,4
"097929","005","425911",1,1,0
"097933","005","425911",2,1,0
"097954","005","425131",2,1,2
"098001","005","425131",1,1,1
"098015","005","425131",1,1,1
"098036","005","425122",1,1,2357999
"098057","005","425131",12,1,12
"098061","005","425131",1,1,2
"098104","005","425913",1,1,1
"098111","005","425131",3,1,3
"098125","005","425131",7,1,7
"098150","005","425122",1,1,0
"098150","005","425131",2,1,2
"098167","005","425131",2,1,3
"098167","005","425913",1,1,1
"098214","005","425122",1,1,0
"098235","005","425131",5,1,5
"098242","005","425131",1,1,1
"098281","005","425912",1,1,1
"098303","005","425131",7,1,7
"098331","005","425131",7,1,14
"098409","005","425131",1,1,1
"098420","005","425131",2,1,7
"098434","005","425912",1,1,0
"098476","005","425129",1,1,5200999
"098551","005","425129",1,1,100680021
"098586","005","425129",1,1,112000
"098608","005","425131",1,1,4
"098612","005","425131",7,1,18
"098633","005","425131",2,1,2
"098654","005","425131",1,1,1
"098675","005","425131",1,1,1
"098675","005","425764",1,1,1
"098682","005","425122",1,1,0
"098696","005","425131",7,1,7
"098722","005","425131",6,1,6
"098739","005","425122",1,1,0
"098750","005","425131",8,1,8
"098764","005","425131",8,1,8
"098771","005","425122",2,1,0
"098785","005","425131",1,1,1
"098792","005","425131",1,1,1
"098807","005","425131",1,1,1
"098811","005","425131",1,1,1
"098811","005","425911",1,1,1
"098832","005","425911",1,1,1
"098849","005","425131",5,1,5
"098853","005","425131",1,1,1
"098860","005","425131",9,1,33
"098895","005","425131",1,1,1
"098895","005","425911",1,1,0
"098942","005","425131",1,1,1
"098963","005","425122",1,1,8222222
"098963","005","425131",1,1,1
"098991","005","425131",1,1,1
"099003","005","425122",1,1,1678999
"099031","005","425122",1,1,7222222
"099031","005","425131",2,1,2
"099045","005","425764",1,1,1
"099052","005","425912",2,1,0
"099062","005","425239",45,2,2722
"099063","005","425231",2,1,342
"099063","005","425232",27,1,1606
"099063","005","425233",172,19,2271
"099063","005","425239",631,68,82044
"099064","005","425231",9,1,17
"099064","005","425232",1,1,22
"099064","005","425233",372,7,2474
"099064","005","425239",390,11,53775
"099065","005","425231",24,1,51
"099065","005","425232",44,1,211
"099065","005","425233",352,8,1674
"099065","005","425239",2121,49,47314
"099067","005","425239",41,2,1593
"099068","005","425131",1,1,1
"099068","005","425231",6,1,20
"099068","005","425232",39,1,799
"099068","005","425233",253,9,2260
"099068","005","425239",581,20,45863
"099069","005","425232",61,1,109
"099069","005","425233",71,5,165
"099069","005","425239",380,26,4236
"099071","005","425131",1,1,1
"099071","005","425232",38,1,310
"099071","005","425233",75,9,298
"099071","005","425239",418,40,11466
"099072","005","425231",1,1,1
"099072","005","425232",39,1,185
"099072","005","425233",83,4,275
"099072","005","425239",429,37,7346
"099073","005","425232",38,1,133
"099073","005","425233",54,8,142
"099073","005","425239",221,32,5014
"099073","005","425912",1,1,0
"099074","005","425232",22,1,227
"099074","005","425233",89,7,806
"099074","005","425239",319,37,9828
"099075","005","425231",2,1,2
"099075","005","425232",26,1,58
"099075","005","425233",46,4,100
"099075","005","425239",393,29,5359
"099077","005","425231",5,1,29
"099077","005","425232",53,1,720
"099077","005","425233",305,5,1804
"099077","005","425239",701,13,21793
"099078","005","425231",1,1,1
